Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Permit Number,Latitude,Longitude,Condo Bldg,Disaster Permit,Disaster Permit Type,Disaster Permit Description
36075-030-000,23046 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),5584,1,2007,BRNCH BANK,WD FR STUC; CONC BLOCK,STAND SEAM,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.265231,-85.974389,,FALSE,,
14215-020-000,742 15TH ST W PANAMA CITY 32405,"STORES, 1 (001100)",11885,1,1983,STORE RETL,CB STUCCO,BUILT-UP,DRYWALL,MASONARY,CORK/VTILE,,,,,,['18PC-CR0378'],30.17578,-85.67246,,TRUE,['ROOF'],['REROOF']
18145-000-000,808 11TH ST W PANAMA CITY 32401,COUNTY,54534,1,2008,GOVT BLDG,WD FR STUC,BUILT-UP,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,"['19PC-CR0737', '19-04792']",30.16866,-85.67152,,TRUE,"['COMM', 'ROOF']","['REROOF', 'REROOF']"
34810-100-000,10800 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),5100,1,2000,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.185024,-85.809922,,FALSE,,
34796-020-000,11205 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),13290,2,1986,REC FACIL,WD FR STUC,CONC TILE,DRYWALL,STEEL,CARPET,,,,,,"['19-00299', '17-2543', '14-01632', '51356', '4785', '472', '0020', '9802124', '9801451', '5687', '93-6299', '93-6300']",30.187647,-85.816145,,FALSE,,
34796-020-000,11205 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),9095,5,1988,BRNCH BANK,GLASS THRM,MINIMUM,CUST PANEL; DRYWALL,STEEL,CARPET; HARDTILE,,,,,,"['19-00299', '17-2543', '14-01632', '51356', '4785', '472', '0020', '9802124', '9801451', '5687', '93-6299', '93-6300']",30.187647,-85.816145,,FALSE,,
34796-020-000,11205 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),5184,5,1988,OFFICE LOW,GLASS THRM,MINIMUM,DRYWALL,STEEL,CARPET,,,,,,"['19-00299', '17-2543', '14-01632', '51356', '4785', '472', '0020', '9802124', '9801451', '5687', '93-6299', '93-6300']",30.187647,-85.816145,,FALSE,,
34796-020-000,11205 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),14112,5,1988,OFFICE LOW,GLASS THRM,MINIMUM,DRYWALL,STEEL,CARPET,,,,,,"['19-00299', '17-2543', '14-01632', '51356', '4785', '472', '0020', '9802124', '9801451', '5687', '93-6299', '93-6300']",30.187647,-85.816145,,FALSE,,
34796-020-000,11205 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),7056,5,1988,OFFICE LOW,GLASS THRM,CONC TILE,DRYWALL,STEEL,CARPET,,,,,,"['19-00299', '17-2543', '14-01632', '51356', '4785', '472', '0020', '9802124', '9801451', '5687', '93-6299', '93-6300']",30.187647,-85.816145,,FALSE,,
34776-010-000,301 RICHARD JACKSON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),5394,1,2004,BRNCH BANK,COMMON BRK,STAND SEAM,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,"['15-1079', '15-1080', '15-1081', '15-1082', '03-02613']",30.191026,-85.814402,,FALSE,,
34770-000-000,10916 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),5732,1,1982,BRNCH BANK,WD FR STUC; PREFIN MTL,BUILT-UP,DRYWALL,STEEL,CARPET,,,,,,['041804'],30.187426,-85.814445,,FALSE,,
34075-020-000,12501 HUTCHISON BV PANAMA CITY BEACH 32407,FINANCIAL (002300),5084,1,2000,BRNCH BANK,CB STUCCO,MODULAR MT,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.19595,-85.830976,,FALSE,,
34063-010-000,12720 HUTCHISON BLVD PANAMA CITY BEACH 32407,FINANCIAL (002300),5271,1,1981,BANK,WD FR STUC; GLASS THRM,ENG SHINGL,DRYWALL,WOOD FRAME,HARDTILE; CARPET,,,,,,['5443'],30.199223,-85.835765,,FALSE,,
34039-161-010,12141 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),13032,2,2004,BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE,,,,,,,30.204794,-85.827998,,FALSE,,
34034-005-087,11701 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),5319,1,2007,BRNCH BANK,CONC BLOCK; CB STUCCO,STAND SEAM,DECORATIVE,MASONARY,CLAY TILE; CARPET,,,,,,"['2010690', '07-993']",30.198996,-85.81792,,FALSE,,
34034-005-080,11540 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),5629,1,2006,BRNCH BANK,COMMON BRK,ENG SHINGL,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.197716,-85.814108,,FALSE,,
34034-005-075,11790 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),6115,1,2007,BRNCH BANK,WD FR STUC,CLAY TILE,DECORATIVE,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.201148,-85.819006,,FALSE,,
34034-005-035,11400 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),6574,1,2007,BANK,COMMON BRK; WD FR STUC,ENG SHINGL,DRYWALL,MASONARY,CARPET; CLAY TILE,,,,,,['1496'],30.196795,-85.812187,,FALSE,,
34030-006-010,11341 PC BCH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),7212,1,2001,BANK,COMMON BRK; WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.195302,-85.811593,,FALSE,,
34030-005-035,11240 PANAMA CITY BEACH PKWY PANAMA CITY BEACH 32407,FINANCIAL (002300),4878,1,2017,BRNCH BANK,CB STUCCO; COMMON BRK,STAND SEAM,DRYWALL,MASONARY,VINYL PLNK; CARPET,,,,,,,30.197115,-85.809728,,FALSE,,
33750-200-000,15501 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),5350,1,2009,BRNCH BANK,ABOVE AVE; COMMON BRK,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.220546,-85.866587,,FALSE,,
33478-050-000,16901 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),12916,2,2004,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,,30.228671,-85.885391,,FALSE,,
32770-000-000,16923 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),198,1,1998,BRNCH BANK,REINF CONC,MODULAR MT,CUST PANEL,STEEL,C ABOVE GD,,,,,,,30.229007,-85.887343,,FALSE,,
32745-050-000,17255 PC BCH PKWY PANAMA CITY BEACH 32413,FINANCIAL (002300),4925,1,1987,BRNCH BANK,WD FR STUC,CLAY TILE,DRYWALL; CUST PANEL,STEEL,CARPET; HARDTILE,,,,,,"['13-207', '4437', '9802656']",30.231127,-85.892862,,FALSE,,
30935-015-000,2515 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),2465,1.5,2009,BRNCH BANK,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CLAY TILE; CARPET,,,,,,"['08-1192', '08-0793']",30.158554,-85.752458,,FALSE,,
30933-004-070,2305 THOMAS DR PANAMA CITY BEACH 32408,FINANCIAL (002300),4728,1,2008,BRNCH BANK,CB STUCCO,CLAY TILE,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,30.161806,-85.753991,,FALSE,,
