Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,Occupancy,Exterior Walls,Roof Cover,Latitude,Longitude,Percent Damage,Height,Notes
25880480003,"1036 S COLLIER BLVD MARCO ISLAND, FL 34145",4 - CONDOMINIUM,0,10,1978,CONDOMINIUM,,BUILT-UP,25.909443,-81.722162,0,119.81,
75135000023,950 N COLLIER BLVD MARCO ISLAND FL 34145,407 - COMMERCIAL,0,4,1990,COMMERCIAL,,BUILT-UP,25.95434,-81.72474,45,47.92,Flat with eaves
52255000023,606 BALD EAGLE DR MARCO ISLAND FL 34145,407 - COMMERCIAL,0,6,1990,COMMERCIAL,,BUILT-UP,25.95213,-81.723781,0,71.88,Flat with extruding walls
68568400045,720 BALD EAGLE DR MARCO ISLAND FL 34145,407 - COMMERCIAL,0,6,1999,COMMERCIAL,,BUILT-UP,25.956056,-81.725446,0,71.88,
31080160007,500 SATURN CT MARCO ISLAND FL 34145,4 - CONDOMINIUM,0,7,1966,CONDOMINIUM,,BUILT-UP,25.941049,-81.736273,90,83.86,
76060280001,540 S COLLIER BLVD MARCO ISLAND FL 34145,402 - TIMESHARE,0,8,1983,TIMESHARE,,BUILT-UP,25.923292,-81.726895,15,95.84,Flat with eaves
55625000029,870 S COLLIER BLVD MARCO ISLAND FL 34145,4 - CONDOMINIUM,0,9,1990,CONDOMINIUM,,BUILT-UP,25.915018,-81.726666,0,107.83,
25980080002,700 S COLLIER BLVD MARCO ISLAND FL 34145,402 - TIMESHARE,0,11,1982,TIMESHARE,,BUILT-UP,25.919627,-81.726304,0,131.79,North building
25980120001,700 S COLLIER BLVD MARCO ISLAND FL 34145,402 - TIMESHARE,0,11,1982,TIMESHARE,,BUILT-UP,25.919627,-81.726304,0,131.79,South building
56600280009,840 S COLLIER BLVD MARCO ISLAND FL 34145,4 - CONDOMINIUM,0,17,1982,CONDOMINIUM,,BUILT-UP,25.916348,-81.72656,30,203.67,
21861360007,140 SEAVIEW CT MARCO ISLAND FL 34145,4 - CONDOMINIUM,0,17,1973,CONDOMINIUM,,BUILT-UP,25.940612,-81.733916,0,203.67,
74248600007,440 SEAVIEW CT MARCO ISLAND FL 34145,4 - CONDOMINIUM,0,18,1980,CONDOMINIUM,,BUILT-UP,25.944914,-81.737335,0,215.65,
74240360002,380 SEAVIEW CT MARCO ISLAND FL 34145,4 - CONDOMINIUM,0,18,1981,CONDOMINIUM,,BUILT-UP,25.944519,-81.738598,0,215.65,
