Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,OccType,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Permit Number,Permit Issued Date,Permit Type,Permit Description,Permit Amount,Latitude,Longitude
35648-000-000,21504 SUNSET AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1296,1,1991,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,,,,,,"['91-5477', '91-6791']","['19910806', '19910919']","['NC', 'NC']","['NEW CONST.', 'NEW CONST.']","['35,000', '0']",30.256825,-85.952689
35645-000-000,21514 SUNSET AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1067,1,1986,SFR AVERG,CONC BLOCK,ENG SHINGL,DRYWALL,,CLAY TILE,,,,,,"['RF1220', '91-4915']","['20010918', '19910717']","['RERF', 'ADD']","['RE-ROOF', 'ADDITION']","['0', '2,059']",30.256838,-85.953322
35638-000-000,21513 SUNSET AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1136,1,1983,SFR AVERG,CB STUCCO,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['500345', '9511678', '93-5133', '91-4211']","['20050215', '19951030', '19930607', '19910624']","['RERF', 'ROOF', 'ROOF', 'ALTR']","['RE ROOF', 'ROOF', 'ROOF', 'ALTERATION']","['0', '0', '0', '975']",30.256448,-85.953331
35636-000-000,21507 SUNSET AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),923,1,1982,SFR AVERG,CONC BLOCK; VINYL,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,['13-1435'],['20130918'],['RERF'],['RERF'],['0'],30.256441,-85.953014
35626-000-000,21323 SUNSET AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1534,1,1990,SFR AVERG,WD FR STUC; VINYL,COMP SHNGL,DRYWALL,,SHT VINYL; CARPET,,,,,,['20687'],['19900803'],['NC'],['NEW CONST.'],['0'],30.256377,-85.950789
35623-010-000,606 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1714,1,2020,SFR GOOD,WD FR STUC,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,"['SP20-00106', 'RB20-01049']","['20200713', '20200707']","['POOL', 'NC']","['POOLS', 'SINGLE FAMILY']","['0', '180,634']",30.257882,-85.949988
35619-000-000,526 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2244,1,2005,SFR AVERG,WD FR STUC,COMP SHNGL,DRYWALL,,CLAY TILE; CARPET,,,,,,['SP164'],['20040730'],['POOL'],['POOLS'],"['16,000']",30.25728,-85.949866
35616-000-000,518 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1264,1,1990,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,['20757'],['19900817'],['NC'],['NEW CONST.'],"['27,000']",30.256877,-85.949936
35612-000-000,510 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1268,1,1992,SFR AVERG,WD FR STUC,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,"['17-1087', '17-0811', '918809']","['20171004', '20170821', '19911126']","['RERF', 'RENO', 'NC']","['RERF', 'INT RENO', 'NEW CONST.']","['0', '40,000', '23,730']",30.256328,-85.949939
35604-000-000,21320 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1218,1,2012,SFR GOOD,VINYL; STONE,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['12-0439', '3043974']","['20120515', '20030615']","['NC', 'NOC']","['SINGLE FAMILY', 'NOTICE COM']","['80,000', '0']",30.256072,-85.95067
