04122-000-000,3800  HWY 98    MEXICO BEACH 32410,"STORES, 1 (001100)","1,456",1,1967,STORE RETL,BD/BATTEN; STONE,MODULAR MT,WALL BD/WD,WOOD FRAME,PINE WOOD
04123-004-000,4108  HWY 98   5 MEXICO BEACH 32410,SINGLE FAM (000100),"1,980",3,2002,TWN AVG/GD,VINYL,MODULAR MT,DRYWALL,N/A,CLAY TILE
04123-006-000,4200  HWY 98   4 MEXICO BEACH 32410,SINGLE FAM (000100),"1,980",3,2002,TWN AVG/GD,VINYL,MODULAR MT,DRYWALL,N/A,HARDWOOD; CARPET
04123-009-000,4202  HWY 98   2 MEXICO BEACH 32410,SINGLE FAM (000100),"2,160",3,2004,TWN AVG/GD,BD/BAT AVG; VINYL,STAND SEAM,DRYWALL,N/A,TERRAZZO; CARPET
04123-009-010,4202  HWY 98   1 MEXICO BEACH 32410,SINGLE FAM (000100),"2,215",3,2004,TWN AVG/GD,ABOVE AVG.,STAND SEAM,DRYWALL,N/A,CLAY TILE
04123-009-030,4202  HWY 98   3 MEXICO BEACH 32410,SINGLE FAM (000100),"2,160",3,2004,TWN AVG/GD,ABOVE AVG.,STAND SEAM,DRYWALL,N/A,CLAY TILE; CARPET
04185-800-041,1120  15TH ST  41 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-042,1120  15TH ST  42 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-043,1120  15TH ST  43 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-044,1120  15TH ST  44 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-045,1120  15TH ST  45 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-046,1120  15TH ST  46 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-047,1120  15TH ST  47 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-048,1120  15TH ST  48 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-049,1120  15TH ST  49 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-050,1120  15TH ST  50 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-051,1120  15TH ST  51 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-052,1120  15TH ST  52 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-053,1120  15TH ST  53 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
04185-800-054,1120  15TH ST  54 MEXICO BEACH 32410,VACANT COM (001000),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
