BLDGID4,REGION4,CENDIV4,SQFTC4,PBA4,HTCNTL4,HTTHRM4,RDHTNF4,BOILER4,FURNAC4,SLFCON4,PKGHT4,HTPMPH4,DUCTHT4,REHEAT4,FNCLHT4,BBDRAD4,OTHTEQ4,OTHTQ14,CLCNTL4,CLTHRM4,RDCLNF4,CHILLR4,ACWNWL4,PKGCL4,HTPMPC4,DUCTCL4,FNCLCL4,OTCLEQ4,OTCLQ14,CHLYRC4,PKCYRC4,CFRIG4,CFRZR4,RFRIG4,RFRZR4,ICE4,SODA4,WTRCL4,OTREF4,OTREF14,PORVAC4,VAC3MP4,MONUSE4,YRCONC4,WLCNS4,RFCNS4,COMPRM4,GENER4,COGEN4,GRID4,PURPA4,FACIL4,PLANT4,BLDPLT4,ADJWT4,STRATUM4,PAIR4,ELSUPL4,NGSUPL4,FKSUPL4,STSUPL4,HWSUPL4,FACACT4,FACTSRC4
1,3,7,6,4,1,1,1,1,2,2,2,2,1,1,2,2,2,,1,1,1,2,2,2,2,1,2,2,,,,2,2,1,2,1,1,1,1,2,2,0,12,5,4,4,2,2,,,,1,1,2,1.13,,0,1,1,2,2,1,1,1
2,2,3,8,2,2,,1,1,2,2,2,2,1,2,2,1,2,,2,,1,1,2,2,2,1,2,2,,4,,2,2,1,2,2,1,1,2,,1,20,12,6,3,4,2,2,,,,1,2,,21.19,5,1,1,2,1,2,2,4,3
3,3,7,4,3,1,2,1,2,1,2,2,2,1,2,2,2,2,,1,2,1,2,2,1,2,2,2,2,,,2,2,2,1,2,2,1,1,2,,2,0,12,4,6,5,2,2,,,,2,,,597.74,10,1,1,1,2,2,2,,
4,2,3,4,13,2,,1,1,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,1,1,2,2,2,1,1,2,,2,0,10,4,4,6,2,2,,,,2,,,584.61,8,2,1,1,2,2,2,,
5,4,9,3,14,2,,1,1,2,2,2,2,1,2,1,2,1,1,,,,,,,,,,,,,,1,1,1,1,2,1,2,2,,2,0,12,3,4,3,2,2,,,,1,2,,1735.25,15,2,1,1,2,2,2,2,3
6,3,5,9,17,,,,,,,,,,,,,,,1,1,2,1,2,1,2,1,1,2,,3,3,1,1,1,1,1,1,1,1,1,2,0,12,3,4,2,1,2,,,,1,1,1,3.13,8,2,1,1,1,2,2,9,1
7,1,2,3,2,1,1,1,1,2,2,2,2,2,2,2,1,2,,1,1,1,2,2,1,2,2,2,2,,,2,2,2,1,2,2,2,1,2,,2,0,12,3,3,4,2,2,,,,2,,,469.94,13,1,1,1,2,2,2,,
8,3,5,5,12,1,1,1,2,1,2,2,1,1,2,2,1,2,,1,1,1,1,2,1,2,1,2,2,,5,2,2,2,1,2,2,1,1,2,,2,0,12,5,4,4,1,2,,,,1,2,,1.03,,0,1,1,2,2,2,12,3
9,4,9,2,19,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,2,,,,2,2,1,2,2,1,1,2,,2,0,10,9,6,5,2,2,,,,1,2,,1654.84,15,2,1,2,2,2,2,3,3
10,4,9,4,4,2,,1,2,1,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,1,95,,1,2,2,1,1,1,1,1,2,,2,0,12,3,4,3,2,2,,,,2,,,497.59,2,2,1,1,2,2,2,,
11,2,3,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,6,4,4,2,2,,,,1,2,,263.93,5,1,1,2,2,2,2,12,3
12,2,4,6,15,2,,1,1,2,2,1,2,1,2,1,2,2,,2,,1,1,2,1,2,1,1,2,,3,2,1,1,1,1,1,1,1,2,,2,0,12,4,4,6,2,2,,,,2,,,91.63,9,1,1,1,1,2,2,,
13,3,7,3,4,1,1,1,2,1,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,3,4,4,2,2,,,,2,,,1597.65,9,1,1,1,2,2,2,,
14,3,5,8,13,2,,1,1,2,1,2,2,1,1,1,1,2,,2,,1,1,2,1,2,1,1,2,,3,5,1,1,1,1,1,1,1,2,,2,0,12,6,4,6,1,2,,,,1,2,,21.99,4,2,1,1,2,2,2,1,3
15,4,8,8,2,2,,1,1,2,1,2,2,1,1,1,2,2,,2,,1,1,1,2,2,2,1,2,,2,,2,2,1,1,1,1,1,2,,2,0,12,5,1,4,1,2,,,,2,,,20,1,1,1,1,2,2,2,,
16,4,9,6,12,1,1,2,2,2,1,1,1,2,2,2,2,2,,1,1,2,2,2,1,1,2,2,2,,,3,2,2,2,2,2,1,1,2,,2,0,12,6,3,4,2,2,,,,1,1,2,163.32,1,1,1,1,2,2,2,7,1
17,2,3,2,2,2,,1,2,1,2,1,2,2,2,2,2,2,,2,,1,2,2,1,2,2,2,2,,,4,2,2,1,2,2,2,2,2,,2,0,12,5,4,4,2,2,,,,2,,,1636.1,14,2,1,1,2,2,2,,
18,3,7,2,4,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,1,1,2,1,2,2,,,2,2,2,1,2,2,2,1,2,,2,0,12,4,4,3,2,2,,,,2,,,1859.44,13,1,1,1,2,2,2,,
19,2,3,6,3,1,1,1,1,2,1,2,2,1,1,1,1,2,,1,1,1,2,1,1,2,2,1,2,,,2,2,2,1,2,2,1,1,2,,2,0,12,5,4,6,2,2,,,,1,2,,21.19,14,1,1,1,2,2,2,5,3
20,4,8,5,12,1,1,2,2,2,2,1,2,1,1,2,2,2,,2,,1,2,1,1,2,1,2,1,1,,4,2,2,1,2,2,1,1,2,,2,0,12,8,3,4,2,2,,,,2,,,268.52,3,2,1,2,2,2,2,,
21,4,9,7,2,2,,1,1,2,2,2,2,1,1,2,2,2,,2,,1,1,1,1,2,1,1,2,,4,4,1,1,1,2,1,1,1,2,,1,3,12,7,3,4,1,2,,,,2,,,256.39,15,2,1,1,2,2,2,,
22,4,9,6,3,2,,1,2,2,2,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,5,1,1,1,2,1,1,1,2,,2,0,12,9,4,4,1,2,,,,2,,,248.34,3,1,1,2,2,2,2,,
23,4,9,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,7,3,4,2,2,,,,1,1,2,72.41,4,1,1,2,2,2,2,1,2
24,4,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,1,2,,1,100,0,3,4,4,2,2,,,,1,2,,1.17,,0,2,2,2,2,2,1,3
25,3,5,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,,1,1,1,2,2,2,1,1,2,2,,,,2,2,2,2,2,2,2,2,,1,50,12,8,4,3,2,2,,,,2,,,1597.64,12,1,1,2,2,2,2,,
26,3,5,4,17,1,1,1,1,2,1,1,1,1,2,1,2,2,,1,1,1,2,1,1,1,1,2,2,,,3,1,1,2,2,1,1,1,2,,2,0,12,6,4,4,2,2,,,,2,,,496.13,16,1,1,2,2,2,2,,
27,3,7,2,13,2,,1,2,2,2,2,1,2,2,2,2,2,,2,,1,2,1,2,1,2,2,2,,,,2,2,2,2,2,2,2,2,,1,100,9,6,6,5,2,2,,,,1,2,,496.13,13,1,1,2,2,2,2,3,3
28,3,5,2,14,2,,2,2,2,2,1,2,1,2,2,2,2,,2,,2,2,2,1,2,1,2,2,,,5,2,2,1,1,1,2,2,2,,2,0,12,6,4,3,2,2,,,,2,,,1472.34,1,2,1,1,2,2,2,,
29,4,8,5,12,1,1,1,2,2,1,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,1,1,,4,2,2,1,2,2,1,2,2,,2,0,12,8,4,4,2,2,,,,2,,,268.52,3,2,1,2,2,2,2,,
30,3,5,4,3,2,,1,2,2,1,2,2,2,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,,,2,2,1,2,2,2,1,2,,2,0,12,3,4,4,2,2,,,,1,2,,1595.2,16,2,1,1,2,2,2,4,3
31,3,7,4,3,2,,1,2,2,2,2,2,1,2,1,2,2,,2,,1,2,2,2,2,1,1,2,,,,2,2,2,2,2,1,1,2,,2,0,12,5,4,4,2,2,,,,1,1,2,5.74,6,2,1,2,2,2,3,5,1
32,1,2,4,4,1,1,1,1,2,1,2,1,2,2,2,1,2,,1,1,2,2,2,2,1,2,2,2,,,,2,2,1,2,2,2,2,2,,2,0,12,5,4,2,2,2,,,,1,2,,257.34,1,1,1,1,1,2,2,13,3
33,3,6,4,17,1,1,1,2,2,1,2,2,2,2,2,2,2,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,2,1,1,2,2,,2,0,12,6,4,3,1,2,,,,2,,,347.16,10,1,1,1,2,2,2,,
34,2,4,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,2,2,2,2,2,2,2,2,2,,2,0,12,5,4,3,2,2,,,,2,,,2082.26,15,2,1,2,2,2,2,,
35,2,3,5,3,2,,1,2,1,2,2,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,2,1,1,1,2,1,1,1,2,,2,0,12,5,4,4,2,2,,,,2,,,21.19,6,1,1,1,2,2,2,,
36,3,5,5,12,,,,,,,,,,,,,,,2,,2,2,2,1,2,2,2,2,,,5,1,1,1,2,2,1,1,2,,2,0,12,6,4,5,2,2,,,,1,1,2,235.53,6,2,1,2,2,2,2,17,2
37,2,3,6,12,1,1,2,2,1,2,2,2,2,2,2,2,2,,1,1,2,2,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,,1,6,12,2,4,4,2,2,,,,2,,,610.82,14,2,1,1,2,2,2,,
38,3,7,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,2,0,12,6,6,5,2,2,,,,1,2,,1595.2,10,2,2,2,2,2,2,12,3
39,2,4,2,2,1,1,1,2,1,2,2,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,2,2,1,2,2,1,2,2,,2,0,12,4,5,3,2,2,,,,2,,,1636.1,17,1,1,1,2,2,2,,
40,1,2,4,12,2,,1,2,1,2,2,2,2,2,2,2,2,,2,,1,2,2,1,2,2,2,2,,,3,2,2,1,2,2,1,1,2,,2,0,12,6,6,6,2,2,,,,2,,,597.34,5,1,1,2,1,2,2,,
41,3,7,3,3,1,1,1,2,2,2,1,2,1,2,2,2,2,,1,1,1,2,2,1,2,1,2,2,,,4,1,2,2,2,1,1,2,2,,2,0,12,4,4,4,2,2,,,,2,,,1932.25,20,2,1,2,2,2,2,,
42,3,5,3,13,2,,1,1,2,2,2,2,2,2,2,2,2,,2,,1,1,2,2,2,2,2,2,,2,,2,2,2,2,2,2,1,2,,1,100,5,5,3,4,2,2,,,,1,1,2,320.86,4,2,1,2,1,2,2,3,1
43,4,9,2,20,1,1,1,2,1,2,2,2,2,2,2,2,2,,1,1,1,2,2,1,2,2,2,2,,,2,2,2,1,2,2,2,2,2,,2,0,12,5,4,3,2,2,,,,2,,,657.7,5,2,1,1,2,2,2,,
44,3,5,4,17,,,,,,,,,,,,,,,1,1,1,2,1,2,2,2,2,2,,,,2,2,1,1,2,1,2,2,,1,15,12,4,4,4,2,2,,,,2,,,1472.34,8,2,1,1,2,2,2,,
45,4,8,2,12,1,1,1,2,2,2,2,1,2,2,2,2,2,,1,1,1,2,2,2,1,2,2,1,1,,,1,1,2,2,2,2,2,2,,2,0,12,6,4,5,2,2,,,,1,2,,1654.83,3,2,1,2,2,2,2,12,3
46,2,3,3,4,1,1,1,1,2,2,2,1,1,1,2,1,2,,,,,,,,,,,,,,,1,1,2,2,2,1,2,2,,2,0,12,1,4,2,2,2,,,,1,1,1,412.5,3,1,1,1,2,2,2,13,2
47,1,2,3,4,1,1,1,1,1,1,2,2,1,1,2,1,2,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,,2,0,12,4,4,3,2,2,,,,2,,,490.89,1,1,1,2,1,2,2,,
48,2,3,3,3,1,2,1,2,2,2,1,2,1,2,2,2,2,,1,2,1,2,2,1,2,1,2,2,,,5,2,2,1,2,2,2,2,2,,2,0,12,3,4,4,2,2,,,,2,,,1904.68,7,1,1,1,2,2,2,,
49,2,3,5,12,1,1,2,2,1,1,1,2,1,2,2,2,2,,2,,1,2,2,1,2,1,2,2,,,5,2,2,1,2,2,1,1,2,,2,0,12,6,4,4,2,2,,,,2,,,263.93,5,1,1,1,2,2,2,,
