DS Number,demand,fail,total
1.0,77.0,2.0,2.0
1.0,78.0,1.0,1.0
1.0,79.0,1.0,2.0
1.0,96.0,24.0,46.0
1.0,98.0,7.0,10.0
1.0,103.0,41.0,62.0
1.0,106.0,20.0,26.0
1.0,108.0,2.0,3.0
1.0,112.0,10.0,21.0
1.0,124.0,13.0,18.0
1.0,125.0,1.0,2.0
1.0,128.0,6.0,7.0
1.0,130.0,36.0,40.0
1.0,131.0,52.0,58.0
1.0,132.0,83.0,91.0
1.0,133.0,134.0,143.0
1.0,134.0,32.0,32.0
1.0,135.0,61.0,62.0
1.0,136.0,4.0,5.0
1.0,138.0,6.0,6.0
1.0,139.0,4.0,4.0
1.0,145.0,13.0,13.0
2.0,77.0,0.0,2.0
2.0,78.0,0.0,1.0
2.0,79.0,0.0,2.0
2.0,96.0,7.0,46.0
2.0,98.0,3.0,10.0
2.0,103.0,13.0,62.0
2.0,106.0,10.0,26.0
2.0,108.0,2.0,3.0
2.0,112.0,6.0,21.0
2.0,124.0,8.0,18.0
2.0,125.0,0.0,2.0
2.0,128.0,4.0,7.0
2.0,130.0,25.0,40.0
2.0,131.0,27.0,58.0
2.0,132.0,57.0,91.0
2.0,133.0,84.0,143.0
2.0,134.0,17.0,32.0
2.0,135.0,46.0,62.0
2.0,136.0,2.0,5.0
2.0,138.0,6.0,6.0
2.0,139.0,1.0,4.0
2.0,145.0,12.0,13.0
3.0,77.0,0.0,2.0
3.0,78.0,0.0,1.0
3.0,79.0,0.0,2.0
3.0,96.0,0.0,46.0
3.0,98.0,0.0,10.0
3.0,103.0,0.0,62.0
3.0,106.0,1.0,26.0
3.0,108.0,0.0,3.0
3.0,112.0,2.0,21.0
3.0,124.0,0.0,18.0
3.0,125.0,0.0,2.0
3.0,128.0,0.0,7.0
3.0,130.0,5.0,40.0
3.0,131.0,0.0,58.0
3.0,132.0,2.0,91.0
3.0,133.0,34.0,143.0
3.0,134.0,3.0,32.0
3.0,135.0,28.0,62.0
3.0,136.0,2.0,5.0
3.0,138.0,3.0,6.0
3.0,139.0,0.0,4.0
3.0,145.0,6.0,13.0
