Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
00010090-000000,302 FLEMING ST KEY WEST FL 33040,BUILT-UP,3,False,None,106,0,2008.0
00016040-000000,701 WHITEHEAD ST KEY WEST FL 33040,BUILT-UP,1,False,None,106,0,1995.0
00012260-000000,520 SOUTHARD ST KEY WEST FL 33040,BUILT-UP,1,False,None,107,0,2002.0
00027650-000000,1100 SIMONTON ST KEY WEST FL 33040,BUILT-UP,2,False,None,106,0,2001.0
00042200-000000,1310 UNITED ST KEY WEST FL 33040,BUILT-UP,2,False,None,106,0,1973.0
00033800-000000,1200 TRUMAN AVE KEY WEST FL 33040,BUILT-UP,2,False,None,107,0,1996.0
00065230-000000,2502 N ROOSEVELT BLVD KEY WEST FL 33040,BUILT-UP,1,False,None,108,0,2000.0
71480040004,973 N COLLIER BLVD MARCO ISLAND FL 34145,BUILT-UP,2,False,None,108,0,1984.0
57991360006,790 BALD EAGLE DR MARCO ISLAND FL 34145,BUILT-UP,2,False,None,108,55,1997.0
57360360006,50 BALD EAGLE DR MARCO ISLAND FL 34145,BUILT-UP,2,False,None,108,25,1981.0
59083920006,9 FRONT ST MARCO ISLAND FL 34145,BUILT-UP,2,False,None,108,50,1966.0
57682560005,992 WINTERBERRY DR MARCO ISLAND FL 34145,BUILT-UP,2,False,None,109,0,1991.0
57490360002,614 BALD EAGLE DR MARCO ISLAND FL 34145,BUILT-UP,1,False,None,108,0,1981.0
00040100-000100,1020 UNITED ST KEY WEST FL 33040,BUILT-UP,2,False,None,106,60,1975.0
,"MARCO ISLAND, FLORIDA",BUILT-UP,1,False,None,108,"[15, 50]",
,"MARCO ISLAND, FLORIDA",BUILT-UP,1,False,None,108,"[15, 50]",
,"KEY WEST, FLORIDA",BUILT-UP,1,False,None,108,"[15, 50]",
,"KEY WEST, FLORIDA",BUILT-UP,1,False,None,108,"[15, 50]",
,"MARCO ISLAND, FLORIDA",BUILT-UP,1,False,None,108,"[15, 50]",
