Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
04973-022-010,413 5TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,10.0,2015
04420-018-000,108 12TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2005
04449-000-000,111 21ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,5.0,2015
04973-150-000,404 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2002
04973-322-000,409 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,40.0,2008
04973-320-000,406 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,20.0,2004
04973-340-000,412 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,2.0,2006
04973-391-000,424 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,0.0,2008
04973-678-000,233 KIM KOVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2002
04973-653-000,221 NANNOOK RD MEXICO BEACH 32456,ENG SHINGL,1,False,None,156.0,"[2, 15]",2011
04973-649-010,233 NANNOOK RD MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2012
04973-632-000,423 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04973-499-000,400 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2005
04973-391-000,424 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,0.0,2008
04973-340-000,412 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,2.0,2006
04973-322-000,409 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,40.0,2008
04973-280-000,429 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2004
04973-150-000,404 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2002
04973-140-000,405 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04973-105-000,425 NEW MEXICO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2015
04973-010-000,404 NEW MEXICO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04930-030-000,205 8TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2011
04925-020-000,209 VIRGINIA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,,2007
04891-000-000,205 CAROLINA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2006
04846-000-000,116 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,5.0,2008
04840-000-000,129 HWY 386 MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2009
04831-000-000,56 AZALEA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2003
04828-010-000,44 AZALEA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2002
04828-000-000,42 AZALEA DR MEXICO BEACH 32456,ENG SHINGL,1,False,None,155.0,"[2, 15]",2006
04808-000-000,121 SEA ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2004
04507-000-000,103 28TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[2, 15]",2008
04499-040-000,105 27TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,,2013
04449-000-000,111 21ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,5.0,2015
04420-018-000,108 12TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2005
04365-000-000,109 16TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2012
04291-000-000,502 HWY 98 MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2015
04222-048-000,413 LA SIESTA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2008
04222-030-000,412 LA SIESTA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2005
04222-026-000,408 LA SIESTA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2003
04222-024-000,406 LA SIESTA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2005
04222-014-000,409 15TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2003
04222-012-000,413 15TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2003
04222-010-000,423 15TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2003
04221-045-000,301 HATLEY DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04188-113-000,406 5TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2007
04185-513-000,108 PARADISE COVE BLVD MEXICO BEACH 32456,ENG SHINGL,1,False,None,153.0,"[2, 15]",2005
04185-511-000,104 PARADISE COVE BLVD MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2006
04173-012-012,1007 CYPRESS LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2002
04149-000-000,304 BAILEY LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[15, 50]",2003
