Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
04973-022-010,413 5TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,10.0,2015
04420-018-000,108 12TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2005
04449-000-000,111 21ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,5.0,2015
04973-150-000,404 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2002
04973-165-000,406 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,15.0,2010
04973-322-000,409 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,40.0,2008
04973-320-000,406 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,20.0,2004
04973-340-000,412 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,2.0,2006
04973-391-000,424 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,0.0,2008
04706-000-000,107 CIRCLE DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,2011
04317-000-000,608 HWY 98 MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,65.0,2009
04790-000-000,110 36TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,35.0,2008
04702-020-000,104 41ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,2009
04698-000-000,116 41ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,2014
04973-846-000,313 ROBIN LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2009
04973-842-000,317 ROBIN LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2005
04973-822-000,314 ROBIN LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2014
04973-810-000,316 WYSONG AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2007
04973-722-000,220 KIM KOVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2005
04973-681-000,235 KIM KOVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2008
04973-678-000,233 KIM KOVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2002
04973-653-000,221 NANNOOK RD MEXICO BEACH 32456,ENG SHINGL,1,False,None,156.0,"[2, 15]",2011
04973-649-010,233 NANNOOK RD MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2012
04973-643-000,243 NAN NOOK RD MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2006
04973-632-000,423 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04973-601-000,405 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2013
04973-395-000,427 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,23.0,2013
04973-391-000,424 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,0.0,2008
04973-340-000,412 ARIZONA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,2.0,2006
04973-322-000,409 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,40.0,2008
04973-280-000,429 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2004
04973-165-000,406 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,15.0,2010
04973-150-000,404 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,35.0,2002
04973-140-000,405 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04973-105-000,425 NEW MEXICO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2015
04973-096-000,418 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2003
04973-010-000,404 NEW MEXICO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2003
04973-002-010,401 5TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2013
04968-000-000,510 MARYLAND BLVD MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2007
04938-010-000,710 GEORGIA AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2002
04930-030-000,205 8TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2011
04925-020-000,209 VIRGINIA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,,2007
04915-020-000,200 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,,2012
04901-000-000,207 MISSISSIPPI DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,,2014
04891-000-000,205 CAROLINA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2006
04849-010-000,140 PALM ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2008
04846-000-000,116 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,5.0,2008
04843-000-000,120 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2008
04840-000-000,129 HWY 386 MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",2009
04832-000-000,60 AZALEA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,,2005
