Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
04188-030-000,410 5TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,45.0,2001.0
04973-342-000,415 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,80.0,1995.0
04973-270-000,426 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,50.0,2000.0
04668-010-000,106 36TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,15.0,1985.0
04726-000-000,125 MIRAMAR DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1967.0
04704-000-000,103 CIRCLE DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1965.0
04734-000-000,125 CIRCLE DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1995.0
04736-000-000,129 CIRCLE DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1965.0
04719-000-000,130 CIRCLE DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1995.0
04700-000-000,112 41ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1964.0
04701-000-000,110 41ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1995.0
04699-000-000,114 41ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1993.0
04697-000-000,118 41ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,167.0,100.0,1992.0
04973-844-000,315 ROBIN LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1987.0
04973-840-000,319 ROBIN LN MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1983.0
04973-818-000,308 WYSONG AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1998.0
04973-816-000,310 WYSONG AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1998.0
04973-814-000,312 WYSONG AVE MEXICO BEACH 32456,ENG SHINGL,1,False,None,156.0,"[2, 15]",1997.0
04973-808-000,318 WYSONG AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,,1987.0
04973-806-000,320 WYSONG AVE B MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1986.0
04973-725-000,221 CHARLES CORNER MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2001.0
04973-694-000,215 KIM KOVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1988.0
04973-690-000,223 KIM KOVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2000.0
04973-601-010,407 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2001.0
04973-540-000,420 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1998.0
04973-539-000,421 CALIFORNIA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1992.0
04973-530-000,418 TEXAS DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,,1977.0
04973-420-000,408 CALIFORNIA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1998.0
04973-342-000,415 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,80.0,1995.0
04973-270-000,426 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,50.0,2000.0
04973-260-000,427 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",2000.0
04973-185-000,417 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",1998.0
04973-180-000,415 COLORADO DR 415 MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1999.0
04973-104-000,424 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",1985.0
04973-076-000,414 COLORADO DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,153.0,"[2, 15]",1999.0
04973-002-000,504 MARYLAND BLVD MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",2000.0
04916-000-000,203 7TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1996.0
04908-030-000,603 GEORGIA AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1977.0
04867-000-000,59 OAK AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1992.0
04861-000-000,57 AZALEA DR MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,,1998.0
04857-010-000,121 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1974.0
04856-005-000,125 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,,1998.0
04845-000-000,118 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,6.0,1996.0
04839-020-000,130 PINE ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,,2001.0
04820-005-000,61 1ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1983.0
04815-010-000,58 1ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1983.0
04812-000-000,86 1ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1980.0
04807-000-000,118 1ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1984.0
04801-007-000,121 1ST ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1997.0
04800-000-000,112 2ND ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1970.0
04674-000-000,109 35TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[15, 50]",2001.0
04668-010-000,106 36TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,15.0,1985.0
04575-000-000,2901 HWY 98 MEXICO BEACH 32456,ENG SHINGL,1,False,None,159.0,"[2, 15]",1954.0
04504-000-000,102 29TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[2, 15]",1954.0
04499-050-000,107 27TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[2, 15]",1978.0
04499-030-000,103 27TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[2, 15]",1950.0
04492-000-000,104 27TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[2, 15]",1958.0
04491-000-000,106 27TH ST N MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[15, 50]",1992.0
04488-000-000,102 26TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,159.0,"[15, 50]",1997.0
04477-000-000,1901 HWY 98 MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1997.0
04438-000-000,105 20TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1998.0
04434-000-000,104 20TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1995.0
04366-000-000,111 16TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1958.0
04335-000-000,608 FORTNER AVE MEXICO BEACH 32410,ENG SHINGL,1,False,None,156.0,"[2, 15]",1968.0
04280-010-000,114 5TH ST MEXICO BEACH 32410,ENG SHINGL,1,False,None,155.0,"[2, 15]",1995.0
