DS Number,demand,fail,total
1.0,90.0,0.0,1.0
1.0,91.0,0.0,5.0
1.0,92.0,1.0,2.0
1.0,94.0,0.0,1.0
1.0,95.0,0.0,9.0
1.0,96.0,3.0,23.0
1.0,97.0,1.0,6.0
1.0,98.0,0.0,16.0
1.0,100.0,0.0,1.0
1.0,101.0,0.0,7.0
1.0,104.0,0.0,24.0
1.0,106.0,0.0,34.0
1.0,107.0,0.0,27.0
1.0,108.0,0.0,19.0
1.0,109.0,0.0,32.0
1.0,110.0,0.0,2.0
1.0,111.0,0.0,117.0
1.0,112.0,0.0,47.0
1.0,113.0,3.0,114.0
1.0,114.0,0.0,36.0
1.0,115.0,21.0,78.0
1.0,116.0,0.0,35.0
1.0,117.0,0.0,53.0
1.0,118.0,0.0,6.0
1.0,119.0,4.0,7.0
1.0,120.0,50.0,95.0
1.0,121.0,55.0,82.0
1.0,123.0,34.0,82.0
1.0,124.0,10.0,12.0
1.0,125.0,31.0,49.0
1.0,126.0,7.0,12.0
1.0,127.0,6.0,8.0
1.0,128.0,10.0,22.0
1.0,129.0,4.0,8.0
1.0,153.0,16.0,16.0
1.0,155.0,13.0,15.0
1.0,156.0,39.0,47.0
1.0,159.0,4.0,5.0
1.0,167.0,3.0,3.0
2.0,90.0,0.0,1.0
2.0,91.0,0.0,5.0
2.0,92.0,1.0,2.0
2.0,94.0,0.0,1.0
2.0,95.0,0.0,9.0
2.0,96.0,2.0,23.0
2.0,97.0,1.0,6.0
2.0,98.0,0.0,16.0
2.0,100.0,0.0,1.0
2.0,101.0,0.0,7.0
2.0,104.0,0.0,24.0
2.0,106.0,0.0,34.0
2.0,107.0,0.0,27.0
2.0,108.0,0.0,19.0
2.0,109.0,0.0,32.0
2.0,110.0,0.0,2.0
2.0,111.0,0.0,117.0
2.0,112.0,0.0,47.0
2.0,113.0,0.0,114.0
2.0,114.0,0.0,36.0
2.0,115.0,15.0,78.0
2.0,116.0,0.0,35.0
2.0,117.0,0.0,53.0
2.0,118.0,0.0,6.0
2.0,119.0,2.0,7.0
2.0,120.0,22.0,95.0
2.0,121.0,24.0,82.0
2.0,123.0,17.0,82.0
2.0,124.0,5.0,12.0
2.0,125.0,15.0,49.0
2.0,126.0,4.0,12.0
2.0,127.0,2.0,8.0
2.0,128.0,5.0,22.0
2.0,129.0,2.0,8.0
2.0,153.0,1.0,16.0
2.0,155.0,0.0,15.0
2.0,156.0,9.0,47.0
2.0,159.0,1.0,5.0
2.0,167.0,3.0,3.0
3.0,90.0,0.0,1.0
3.0,91.0,0.0,5.0
3.0,92.0,1.0,2.0
3.0,94.0,0.0,1.0
3.0,95.0,0.0,9.0
3.0,96.0,1.0,23.0
3.0,97.0,1.0,6.0
3.0,98.0,0.0,16.0
3.0,100.0,0.0,1.0
3.0,101.0,0.0,7.0
3.0,104.0,0.0,24.0
3.0,106.0,0.0,34.0
3.0,107.0,0.0,27.0
3.0,108.0,0.0,19.0
3.0,109.0,0.0,32.0
3.0,110.0,0.0,2.0
3.0,111.0,0.0,117.0
3.0,112.0,0.0,47.0
3.0,113.0,0.0,114.0
3.0,114.0,0.0,36.0
3.0,115.0,11.0,78.0
3.0,116.0,0.0,35.0
3.0,117.0,0.0,53.0
3.0,118.0,0.0,6.0
3.0,119.0,1.0,7.0
3.0,120.0,18.0,95.0
3.0,121.0,15.0,82.0
3.0,123.0,14.0,82.0
3.0,124.0,4.0,12.0
3.0,125.0,9.0,49.0
3.0,126.0,4.0,12.0
3.0,127.0,0.0,8.0
3.0,128.0,4.0,22.0
3.0,129.0,2.0,8.0
3.0,153.0,0.0,16.0
3.0,155.0,0.0,15.0
3.0,156.0,1.0,47.0
3.0,159.0,0.0,5.0
3.0,167.0,3.0,3.0
