DS Number,demand,fail,total
1.0,94.0,1.0,1.0
1.0,95.0,0.0,4.0
1.0,96.0,2.0,35.0
1.0,97.0,4.0,15.0
1.0,100.0,0.0,3.0
1.0,101.0,0.0,17.0
1.0,104.0,0.0,51.0
1.0,106.0,0.0,57.0
1.0,107.0,0.0,53.0
1.0,108.0,0.0,44.0
1.0,111.0,0.0,39.0
1.0,112.0,0.0,143.0
1.0,113.0,4.0,209.0
1.0,114.0,0.0,31.0
1.0,115.0,3.0,9.0
1.0,116.0,0.0,47.0
1.0,117.0,0.0,33.0
1.0,118.0,7.0,16.0
1.0,119.0,11.0,19.0
1.0,120.0,72.0,143.0
1.0,121.0,58.0,96.0
1.0,123.0,100.0,182.0
1.0,124.0,20.0,32.0
1.0,125.0,69.0,109.0
1.0,126.0,20.0,29.0
1.0,127.0,9.0,12.0
1.0,128.0,24.0,47.0
1.0,129.0,11.0,17.0
1.0,153.0,12.0,12.0
1.0,155.0,19.0,25.0
1.0,156.0,49.0,57.0
1.0,159.0,13.0,13.0
1.0,167.0,14.0,16.0
2.0,94.0,1.0,1.0
2.0,95.0,0.0,4.0
2.0,96.0,1.0,35.0
2.0,97.0,2.0,15.0
2.0,100.0,0.0,3.0
2.0,101.0,0.0,17.0
2.0,104.0,0.0,51.0
2.0,106.0,0.0,57.0
2.0,107.0,0.0,53.0
2.0,108.0,0.0,44.0
2.0,111.0,0.0,39.0
2.0,112.0,0.0,143.0
2.0,113.0,1.0,209.0
2.0,114.0,0.0,31.0
2.0,115.0,1.0,9.0
2.0,116.0,0.0,47.0
2.0,117.0,0.0,33.0
2.0,118.0,4.0,16.0
2.0,119.0,6.0,19.0
2.0,120.0,38.0,143.0
2.0,121.0,24.0,96.0
2.0,123.0,46.0,182.0
2.0,124.0,9.0,32.0
2.0,125.0,31.0,109.0
2.0,126.0,10.0,29.0
2.0,127.0,3.0,12.0
2.0,128.0,10.0,47.0
2.0,129.0,5.0,17.0
2.0,153.0,5.0,12.0
2.0,155.0,0.0,25.0
2.0,156.0,3.0,57.0
2.0,159.0,4.0,13.0
2.0,167.0,13.0,16.0
3.0,94.0,1.0,1.0
3.0,95.0,0.0,4.0
3.0,96.0,0.0,35.0
3.0,97.0,1.0,15.0
3.0,100.0,0.0,3.0
3.0,101.0,0.0,17.0
3.0,104.0,0.0,51.0
3.0,106.0,0.0,57.0
3.0,107.0,0.0,53.0
3.0,108.0,0.0,44.0
3.0,111.0,0.0,39.0
3.0,112.0,0.0,143.0
3.0,113.0,1.0,209.0
3.0,114.0,0.0,31.0
3.0,115.0,0.0,9.0
3.0,116.0,0.0,47.0
3.0,117.0,0.0,33.0
3.0,118.0,4.0,16.0
3.0,119.0,3.0,19.0
3.0,120.0,30.0,143.0
3.0,121.0,15.0,96.0
3.0,123.0,34.0,182.0
3.0,124.0,8.0,32.0
3.0,125.0,13.0,109.0
3.0,126.0,7.0,29.0
3.0,127.0,2.0,12.0
3.0,128.0,7.0,47.0
3.0,129.0,3.0,17.0
3.0,153.0,0.0,12.0
3.0,155.0,0.0,25.0
3.0,156.0,3.0,57.0
3.0,159.0,0.0,13.0
3.0,167.0,13.0,16.0
