DS Number,demand,fail,total
1.0,90.0,0.0,1.0
1.0,91.0,0.0,5.0
1.0,92.0,1.0,2.0
1.0,94.0,0.0,1.0
1.0,95.0,0.0,9.0
1.0,96.0,1.0,8.0
1.0,97.0,1.0,3.0
1.0,98.0,0.0,17.0
1.0,101.0,0.0,1.0
1.0,104.0,0.0,6.0
1.0,106.0,0.0,9.0
1.0,107.0,0.0,6.0
1.0,108.0,0.0,3.0
1.0,109.0,0.0,32.0
1.0,110.0,0.0,2.0
1.0,111.0,0.0,115.0
1.0,112.0,0.0,14.0
1.0,113.0,1.0,28.0
1.0,114.0,0.0,29.0
1.0,115.0,21.0,78.0
1.0,116.0,0.0,11.0
1.0,117.0,0.0,42.0
1.0,118.0,0.0,1.0
1.0,119.0,1.0,2.0
1.0,120.0,26.0,45.0
1.0,121.0,36.0,52.0
1.0,123.0,4.0,23.0
1.0,124.0,2.0,3.0
1.0,125.0,7.0,10.0
1.0,126.0,2.0,2.0
1.0,127.0,4.0,6.0
1.0,128.0,6.0,10.0
1.0,129.0,2.0,3.0
2.0,90.0,0.0,1.0
2.0,91.0,0.0,5.0
2.0,92.0,1.0,2.0
2.0,94.0,0.0,1.0
2.0,95.0,0.0,9.0
2.0,96.0,1.0,8.0
2.0,97.0,1.0,3.0
2.0,98.0,0.0,17.0
2.0,101.0,0.0,1.0
2.0,104.0,0.0,6.0
2.0,106.0,0.0,9.0
2.0,107.0,0.0,6.0
2.0,108.0,0.0,3.0
2.0,109.0,0.0,32.0
2.0,110.0,0.0,2.0
2.0,111.0,0.0,115.0
2.0,112.0,0.0,14.0
2.0,113.0,0.0,28.0
2.0,114.0,0.0,29.0
2.0,115.0,16.0,78.0
2.0,116.0,0.0,11.0
2.0,117.0,0.0,42.0
2.0,118.0,0.0,1.0
2.0,119.0,1.0,2.0
2.0,120.0,11.0,45.0
2.0,121.0,14.0,52.0
2.0,123.0,2.0,23.0
2.0,124.0,1.0,3.0
2.0,125.0,5.0,10.0
2.0,126.0,2.0,2.0
2.0,127.0,1.0,6.0
2.0,128.0,2.0,10.0
2.0,129.0,2.0,3.0
3.0,90.0,0.0,1.0
3.0,91.0,0.0,5.0
3.0,92.0,1.0,2.0
3.0,94.0,0.0,1.0
3.0,95.0,0.0,9.0
3.0,96.0,1.0,8.0
3.0,97.0,1.0,3.0
3.0,98.0,0.0,17.0
3.0,101.0,0.0,1.0
3.0,104.0,0.0,6.0
3.0,106.0,0.0,9.0
3.0,107.0,0.0,6.0
3.0,108.0,0.0,3.0
3.0,109.0,0.0,32.0
3.0,110.0,0.0,2.0
3.0,111.0,0.0,115.0
3.0,112.0,0.0,14.0
3.0,113.0,0.0,28.0
3.0,114.0,0.0,29.0
3.0,115.0,11.0,78.0
3.0,116.0,0.0,11.0
3.0,117.0,0.0,42.0
3.0,118.0,0.0,1.0
3.0,119.0,0.0,2.0
3.0,120.0,7.0,45.0
3.0,121.0,8.0,52.0
3.0,123.0,1.0,23.0
3.0,124.0,1.0,3.0
3.0,125.0,2.0,10.0
3.0,126.0,2.0,2.0
3.0,127.0,0.0,6.0
3.0,128.0,2.0,10.0
3.0,129.0,2.0,3.0
