DS Number,demand,fail,total
1.0,94.0,1.0,1.0
1.0,95.0,0.0,1.0
1.0,96.0,0.0,17.0
1.0,97.0,4.0,11.0
1.0,100.0,0.0,2.0
1.0,101.0,0.0,8.0
1.0,104.0,0.0,25.0
1.0,106.0,0.0,26.0
1.0,107.0,0.0,20.0
1.0,108.0,0.0,25.0
1.0,111.0,0.0,35.0
1.0,112.0,0.0,92.0
1.0,113.0,1.0,100.0
1.0,114.0,0.0,16.0
1.0,115.0,3.0,8.0
1.0,116.0,0.0,17.0
1.0,117.0,0.0,17.0
1.0,118.0,7.0,8.0
1.0,119.0,8.0,13.0
1.0,120.0,46.0,74.0
1.0,121.0,36.0,54.0
1.0,123.0,66.0,104.0
1.0,124.0,11.0,19.0
1.0,125.0,41.0,56.0
1.0,126.0,11.0,14.0
1.0,127.0,7.0,10.0
1.0,128.0,18.0,28.0
1.0,129.0,7.0,8.0
2.0,94.0,1.0,1.0
2.0,95.0,0.0,1.0
2.0,96.0,0.0,17.0
2.0,97.0,2.0,11.0
2.0,100.0,0.0,2.0
2.0,101.0,0.0,8.0
2.0,104.0,0.0,25.0
2.0,106.0,0.0,26.0
2.0,107.0,0.0,20.0
2.0,108.0,0.0,25.0
2.0,111.0,0.0,35.0
2.0,112.0,0.0,92.0
2.0,113.0,1.0,100.0
2.0,114.0,0.0,16.0
2.0,115.0,1.0,8.0
2.0,116.0,0.0,17.0
2.0,117.0,0.0,17.0
2.0,118.0,4.0,8.0
2.0,119.0,5.0,13.0
2.0,120.0,25.0,74.0
2.0,121.0,14.0,54.0
2.0,123.0,29.0,104.0
2.0,124.0,4.0,19.0
2.0,125.0,19.0,56.0
2.0,126.0,7.0,14.0
2.0,127.0,2.0,10.0
2.0,128.0,7.0,28.0
2.0,129.0,3.0,8.0
3.0,94.0,1.0,1.0
3.0,95.0,0.0,1.0
3.0,96.0,0.0,17.0
3.0,97.0,1.0,11.0
3.0,100.0,0.0,2.0
3.0,101.0,0.0,8.0
3.0,104.0,0.0,25.0
3.0,106.0,0.0,26.0
3.0,107.0,0.0,20.0
3.0,108.0,0.0,25.0
3.0,111.0,0.0,35.0
3.0,112.0,0.0,92.0
3.0,113.0,1.0,100.0
3.0,114.0,0.0,16.0
3.0,115.0,0.0,8.0
3.0,116.0,0.0,17.0
3.0,117.0,0.0,17.0
3.0,118.0,4.0,8.0
3.0,119.0,2.0,13.0
3.0,120.0,19.0,74.0
3.0,121.0,8.0,54.0
3.0,123.0,19.0,104.0
3.0,124.0,4.0,19.0
3.0,125.0,5.0,56.0
3.0,126.0,4.0,14.0
3.0,127.0,2.0,10.0
3.0,128.0,5.0,28.0
3.0,129.0,2.0,8.0
