Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
38454-050-000,301 SANDS ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,2004
38448-000-000,229 CATHY PL PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,2005
38441-010-000,317 VESTAVIA ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2011
38406-000-000,254 SEAKOVE ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,100.0,,2010
38379-000-000,249 SHALIMAR ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2006
38333-050-351,125 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2013
38333-050-346,217 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2012
38333-050-322,114 NAUTICAL WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2013
38333-050-317,101 NAUTICAL WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2015
38333-050-200,110 LEEWARD WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2013
38333-050-184,121 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2002
38333-050-173,98 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2012
38333-050-167,110 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2004
38333-050-166,112 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2012
38333-050-164,116 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2013
38333-050-156,109 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2015
38333-050-155,107 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2015
38333-050-153,103 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2014
38333-050-149,100 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2015
38333-050-139,107 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,2011
