Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
38515-000-000,306 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1985
38514-000-000,310 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1967
38512-000-000,314 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1954
38510-000-000,315 WELLS ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1959
38505-000-000,301 WELLS ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1971
38501-000-000,253 DEERMONT ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1966
38454-050-000,301 SANDS ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1989
38448-000-000,229 CATHY PL PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1980
38412-030-000,17881 LYNN ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,100.0,,1953
38409-000-000,250 SEAKOVE ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,100.0,,1987
38406-000-000,254 SEAKOVE ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,100.0,,1957
38404-003-000,17549 SUNTIME ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1991
38379-000-000,249 SHALIMAR ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1970
38333-050-351,125 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38333-050-343,223 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-337,216 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-333,208 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-322,114 NAUTICAL WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-321,112 NAUTICAL WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-317,101 NAUTICAL WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-309,140 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38333-050-306,134 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-301,124 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38333-050-200,110 LEEWARD WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-193,110 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-192,108 LEEWARD WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-187,102 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-180,113 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-177,107 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1999
38333-050-173,98 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-172,100 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-167,110 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-166,112 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-164,116 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-159,115 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-158,113 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-156,109 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-155,107 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-153,103 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-152,101 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-149,100 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-147,104 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-139,107 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-138,105 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-136,101 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-130,106 BISCAYNE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-125,139 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-115,128 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-112,122 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-111,120 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-105,109 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38307-000-000,211 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1998
38301-000-000,204 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1988
38298-000-000,212 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1964
38270-000-000,116 VESTAVIA ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1996
38259-000-000,112 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1993
38256-050-000,120 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1993
38245-000-000,206 WELLS ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1965
38243-000-000,128 WELLS ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1970
38198-015-000,111 SAN SOUCI ST N PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1984
38194-000-000,146 WELLS ST N PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1973
34887-500-019,114 TIERRA VERDE TRL PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,2001
34887-500-013,126 TIERRA VERDE TRL PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,2001
34882-272-010,257 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,116.0,,1998
34882-272-000,255 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,116.0,,1998
34882-270-000,251 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,116.0,,1998
34882-268-000,247 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,116.0,,1998
34882-259-000,229 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,1996
34882-258-000,227 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,1996
34882-253-000,217 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,1997
34882-251-000,215 GLADES TRL S PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,1997
34882-231-000,119 HOMBRE CIR PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,1994
34882-226-000,109 HOMBRE CIR PANAMA CITY BEACH 32407,ENG SHINGL,1,False,None,117.0,,1990
