Parcel Id,Address,roof cover,Stories,Disaster Permit,Permit Description,Demand Value,Value,Year Built
38510-000-000,315 WELLS ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1959
38505-000-000,301 WELLS ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,2001
38501-000-000,253 DEERMONT ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1995
38412-030-000,17881 LYNN ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,100.0,,1991
38409-000-000,250 SEAKOVE ST PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,100.0,,1996
38333-050-337,216 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-333,208 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-309,140 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38333-050-306,134 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-301,124 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38333-050-193,110 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-192,108 LEEWARD WAY PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-187,102 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-180,113 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-177,107 SUMMER BREEZE RD PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1999
38333-050-159,115 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1998
38333-050-158,113 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-152,101 BIMINI CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-138,105 WINDWARD CT PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-130,106 BISCAYNE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1994
38333-050-115,128 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1996
38333-050-111,120 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1995
38333-050-105,109 BONAIRE DR PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,104.0,,1997
38307-000-000,211 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1998
38256-050-000,120 SAN SOUCI ST S PANAMA CITY BEACH 32413,ENG SHINGL,1,False,None,101.0,,1993
