CITY,ZIP,STATE,LATITUDE,LONGITUDE
COCOA WEST,34105,FLORIDA,28.36,-80.7715
FRUITLAND PARK,34731,FLORIDA,28.863361,-81.905624
OCALA,34470,FLORIDA,29.198907,-82.087425
FORT LAUDERDALE,33311,FLORIDA,26.144303,-80.183868
NAPLES,34108,FLORIDA,26.241595,-81.807056
DUNDEE,33838,FLORIDA,28.019442,-81.614048
ORANGE CITY,32763,FLORIDA,28.939904,-81.301856
WAUCHULA,33873,FLORIDA,27.518602,-81.784123
FORT MYERS BEACH,33931,FLORIDA,26.433124,-81.902995
PEMBROKE ,33029,FLORIDA,25.993016,-80.388875
PEMBROKE PINES,33029,FLORIDA,25.993016,-80.388875
MELBOURNE,32932,FLORIDA,28.306726,-80.686159
LAKE CITY,32055,FLORIDA,30.270103,-82.62413
ISLAMORADA,33036,FLORIDA,24.90169,-80.682667
LOUGHMAN,33813,FLORIDA,27.965132,-81.939522
MELBOURNE,32935,FLORIDA,28.145549,-80.649969
FROSTPROOF,33843,FLORIDA,27.72938,-81.55934
BRADLEY,33835,FLORIDA,27.699258,-81.949419
PORT CHARLOTTE,33980,FLORIDA,26.986122,-82.055747
TAMPA,33610,FLORIDA,27.995997,-82.375733
KISSIMMEE,34741,FLORIDA,28.30639,-81.425522
MIAMI,33157,FLORIDA,25.606126,-80.343496
LAKE CITY,32025,FLORIDA,30.160115,-82.639606
MAIMI SHORES VILLAGE,33138,FLORIDA,25.863152,-80.192825
CORAL GABLES ,33156,FLORIDA,25.67927,-80.317274
DAVENPORT,33896,FLORIDA,28.256905,-81.58285
HERNANDO BEACH,34607,FLORIDA,28.504888,-82.625672
WINTER HAVEN,33881,FLORIDA,28.06374,-81.711071
BABSON,33827,FLORIDA,27.843823,-81.538683
KEY WEST,33040,FLORIDA,24.557053,-81.780989
TAMPA ,33614,FLORIDA,28.031495,-82.496367
CLERMONT,34711,FLORIDA,28.584025,-81.779423
PLANTATION,33324,FLORIDA,26.133433,-80.251143
CAPE CORAL,33990,FLORIDA,26.6265,-81.967657
MARCO ISLAND,34145,FLORIDA,25.938768,-81.696751
GREEN COVE SPRINGS,32043,FLORIDA,29.998318,-81.76468
BRADENTON BEACH,34217,FLORIDA,27.485915,-82.710221
PEMBROKE PARK,33009,FLORIDA,25.987869,-80.174769
LAKE WALES,33859,FLORIDA,27.872695,-81.626401
MIAMI,33033,FLORIDA,25.485508,-80.418186
UMATILL,32784,FLORIDA,28.925371,-81.680144
