Parcel ID,Address,Use Code,Square Footage,Stories,Year Built,Latitude,Longitude
14805-101-000,1720  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2236,1,2006,30.179858,-85.620197
14805-102-000,1722  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2378,1,2006,30.180021,-85.620196
14805-103-000,1724  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2445,1,2007,30.180172,-85.620181
14805-104-000,2902  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2241,1,2007,30.180122,-85.619969
14805-105-000,2904  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2073,1,2006,30.180121,-85.619747
14805-106-000,2906  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2260,1,2006,30.18012,-85.619557
14805-107-000,2908  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2697,1,2007,30.180152,-85.619362
14805-108-000,2910  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2402,0,2007,30.180143,-85.619186
14805-109-000,2912  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2278,1,2008,30.180078,-85.618993
14805-110-000,2918  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2281,1,2012,30.180082,-85.618765
14805-111-000,2920  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2355,1,2007,30.179923,-85.618579
14805-112-000,2922  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2442,1,2013,30.179764,-85.618452
14805-113-000,2924  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2390,1,2014,30.179645,-85.618312
14805-114-000,2926  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2097,1,2009,30.179609,-85.618085
14805-115-000,2931  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2338,1,2008,30.179729,-85.617541
14805-116-000,2929  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2172,1,2006,30.179844,-85.617719
14805-117-000,2927  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2347,1,2007,30.17994,-85.617808
14805-118-000,2925  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2399,1,2007,30.180111,-85.617924
14805-119-000,2923  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2323,1,2009,30.180213,-85.618078
14805-120-000,2921  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2355,1,2008,30.180291,-85.618259
14805-121-000,2919  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2445,1,2010,30.18039,-85.618416
14805-122-000,2917  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2106,1,2009,30.180481,-85.618575
14805-123-000,2915  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2339,0,2007,30.180533,-85.618781
14805-124-000,2913  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2261,1,2014,30.180533,-85.618977
14805-125-000,2911  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2156,1,2010,30.180576,-85.619175
