Parcel ID,Address,Use Code,Square Footage,Stories,Year Built,Latitude,Longitude
12989-000-010,2601  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),2313.00,1,1994,30.19631473,-85.6666
12989-000-020,2603  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),3199.00,1,1994,30.1963442,-85.6666
12989-001-000,200  FOREST PARK CIR   PANAMA CITY 32405,OFFICE BLD (001700),1640.00,1,1985,30.1954,-85.6625
12989-005-000,202  FOREST PARK CR   PANAMA CITY 32405,INSURANCE (002400),3213.00,1.5,1985,30.1954,-85.6625
12989-010-000,2938  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),3508.00,1,1974,30.20167059,-85.6622
12989-020-000,3000  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),2788.00,1,1972,30.2022,-85.6624
12989-030-000,313  BALDWIN RD W  PANAMA CITY 32405,SINGLE FAM (000100),3583.00,1,1972,30.20343248,-85.65483568
12989-040-000,241  BALDWIN RD W  PANAMA CITY 32405,SINGLE FAM (000100),3852.00,1,1972,30.20348916,-85.65503404
12989-050-000,3035  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),2737.00,1,1972,30.20227143,-85.6624
12989-060-000,3010  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),2816.00,1,1973,30.20222041,-85.6624
12989-070-000,3009  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),2708.00,1,1972,30.20231837,-85.6666
12989-075-000,2907  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),2771.00,2,1978,30.20082,-85.6668
12989-078-000,2638  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),3749.00,1.5,1980,30.19685982,-85.6666
12989-080-000,2925  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),2965.00,1,1972,30.20143333,-85.6668
12989-090-000,2939  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),2760.00,1,1972,30.20167059,-85.6626
12989-091-000,2931  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),3567.00,1,1972,30.2018,-85.6624
12989-092-000,2925  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),2853.00,1,1973,30.2014,-85.6624
12989-093-000,2917  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),4932.00,1,1973,30.20096,-85.6624
12989-094-000,2918  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),3035.00,1,1978,30.2012,-85.6624
12989-095-000,3016  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),3142.00,1,1974,30.20293,-85.6624
12989-096-000,3015  JENKS AVE   PANAMA CITY 32405,SINGLE FAM (000100),4316.00,1,1973,30.2029,-85.6624
12989-097-000,2814  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),4622.00,1,1976,30.19945268,-85.6664
12989-098-000,2924  STATE AVE   PANAMA CITY 32405,SINGLE FAM (000100),2734.00,1,1973,30.20139756,-85.6664
