PERMITNUMBER,PERMITTYPE,PERMITSUBTYPE,ISSUED,DESCRIPTION,SITE_ADDR,CONTRACTOR_NAME,STATUS
DIS18-0002,HURRICANE MICHAEL,ROOF,43396,REROOF - HM,428 WAHOO RD,FLORIDA VIKING ROOFING - MICHA...,FINALED
DIS18-0003,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPLACEMENT,5033 PRETTY,NEXT ERA RENOVATIONS LLC,FINALED
DIS18-0004,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPLACEMENT,5004 PRETTY,NEXT ERA RENOVATIONS LLC,FINALED
DIS18-0005,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPLACEMENT,5029 PRETTY,NEXT ERA RENOVATIONS LLC,FINALED
DIS18-0006,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPLACEMENT,9108 SUNSHINE DR,"HENDERSON, GARY D JR",ISSUED
DIS18-0007,HURRICANE MICHAEL,ROOF,43396,HM RE-ROOF 6402 HWY 2311,6402 HWY 2311,GREG'S ROOFING OF BAY CO INC,FINALED
DIS18-0008,HURRICANE MICHAEL,ROOF,43396,HM  RE-ROOF 10SQS,1010 WILDWOOD RD,"KINGS ROOFING, LLC",FINALED
DIS18-0009,HURRICANE MICHAEL,ROOF,43396,HM  RE-ROOF - 38 SQS,2820 COCOA AVE,"KINGS ROOFING, LLC",ISSUED
DIS18-0010,HURRICANE MICHAEL,ROOF,43396,RE-ROOF / 78SQ,2356 FOXWORTH DR,"KINGS ROOFING, LLC",WITHDRAWN
DIS18-0011,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPAIR,79 GULF LOOP,"WILLIAMS, DANIEL B",ISSUED
DIS18-0012,HURRICANE MICHAEL,ELECTRICAL,43396,DAMAGED ELECTRICAL REPAIR,79 GULF LOOP,"WILLIAMS, DANIEL B",ISSUED
DIS18-0013,HURRICANE MICHAEL,WINDOWS/DOORS,43396,ALTERATION DAMAGE REPAIR,79 GULF LOOP,"WILLIAMS, DANIEL B",ISSUED
DIS18-0014,HURRICANE MICHAEL,WINDOWS/DOORS,43396,HURRICANE  MICHAEL DAMAGE,417 SNOOK LN,OWNER/BUILDER,ISSUED
DIS18-0015,HURRICANE MICHAEL,ROOF,43396,REROOF  METAL,417 SNOOK LN,OWNER/BUILDER,ISSUED
DIS18-0016,HURRICANE MICHAEL,ROOF,43396,HM - RE-ROOF 6 SQ,1219 THOMAS DR 275,NICOTERA ROOFING LLC,FINALED
DIS18-0017,HURRICANE MICHAEL,WINDOWS/DOORS,43396,HURRICANE MICHAEL,418 SNOOK LN,OWNER/BUILDER,WITHDRAWN
DIS18-0018,HURRICANE MICHAEL,ELECTRICAL,43396,SERVICE REPAIR - HM   LOT 313,1940 SHERMAN AVE,OWNER/BUILDER,ISSUED
DIS18-0019,HURRICANE MICHAEL,ROOF,43396,REROOF  METAL,418 SNOOK LN,OWNER/BUILDER,WITHDRAWN
DIS18-0020,HURRICANE MICHAEL,ROOF,43396,HM RE-ROOF 6 SQS,724 SHARK DR,NICOTERA ROOFING LLC,FINALED
DIS18-0021,HURRICANE MICHAEL,ELECTRICAL,43396,SERVICE REPAIR,7104 BEACHWOOD BLVD,DAVE CAPPS ELECTRIC SERVICE,FINALED
DIS18-0022,HURRICANE MICHAEL,ROOF,43396,HM/ REPLACEMENT ROOF 35SQ,121 BOCA LAGOON DR,"BUILDTEC USA, LLC",FINALED
DIS18-0023,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPAIR,178 MARLIN DR S,"WHERRY, M. SUE & CAROLE A.",ISSUED
DIS18-0024,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPAIR - SHED,178 MARLIN DR S,"WHERRY, M. SUE & CAROLE A.",ISSUED
DIS18-0025,HURRICANE MICHAEL,ELECTRICAL,43396,SERVICE REPAIR - HM,1508 AIRPORT RD,PARRISH ELECTRICAL CONTRACTING...,FINALED
DIS18-0026,HURRICANE MICHAEL,ELECTRICAL,43403,SERVICE REPAIRE,2704 VALLA ST,OWNER/BUILDER,FINALED
DIS18-0027,HURRICANE MICHAEL,WINDOWS/DOORS,43396,EXTERIOR DAMAGE REPAIR,178 MARLIN DR S,"WHERRY, M. SUE & CAROLE A.",ISSUED
DIS18-0028,HURRICANE MICHAEL,ELECTRICAL,43396,SERVICE REPAIR,923 HWY 2297,OWNER/BUILDER,FINALED
DIS18-0029,HURRICANE MICHAEL,ELECTRICAL,43396,ELECTRICAL REPAIR - HM,2110 WILDRIDGE RD,COMPLETE ELECTRICAL SERV. N.W....,FINALED
DIS18-0030,HURRICANE MICHAEL,ROOF,43396,DAMAGED ROOF REPAIR,316 LAGOON DR,"WYLIE, THOMAS B & EDWINA O",FINALED
DIS18-0031,HURRICANE MICHAEL,WINDOWS/DOORS,43396,DAMAGE ALTERATION REPAIR,316 LAGOON DR,"WYLIE, THOMAS B & EDWINA O",ISSUED
DIS18-0032,HURRICANE MICHAEL,ROOF,43396,HM/ RE-ROOF 10 SQ,116 OCEAN LN B28,OWNER/BUILDER,FINALED
DIS18-0033,HURRICANE MICHAEL,ROOF,43396,REROOF,3210 COLTER ST,Guyson (roofing) Construction ...,ISSUED
DIS18-0034,HURRICANE MICHAEL,ROOF,43396,REROOF,5955 PIZA CIR,Guyson (roofing) Construction ...,FINALED
DIS18-0035,HURRICANE MICHAEL,ELECTRICAL,43396,HM - SERVICE REPAIR,2404 MARY ANN DR,"ROGERS ELECTRICAL CONTRACTORS,...",FINALED
DIS18-0036,HURRICANE MICHAEL,ROOF,43396,REROOF,4911 MC CALL LN,Guyson (roofing) Construction ...,ISSUED
DIS18-0037,HURRICANE MICHAEL,ROOF,43396,HM/ RE-ROOF (DUPLEX) - 26 SQS,7001 STARFISH CT,GREG'S ROOFING OF BAY CO INC,FINALED
DIS18-0038,HURRICANE MICHAEL,ELECTRICAL,43396,service repair,4823 THOMAS DR,"SANDCASTLE ELECTRIC, INC",ISSUED
DIS18-0039,HURRICANE MICHAEL,ROOF,43396,RE-ROOF (DUPLEX) 26 SQ,7003 STARFISH CT,GREG'S ROOFING OF BAY CO INC,FINALED
DIS18-0040,HURRICANE MICHAEL,ROOF,43396,HM - REPLACEMENT ROOF 19SQS,111 SPIKES RD,GREG'S ROOFING OF BAY CO INC,FINALED
DIS18-0041,HURRICANE MICHAEL,ROOF,43396,COMMERCIAL RE-ROOF 50 SQ,8416 THOMAS DR,GREG'S ROOFING OF BAY CO INC,ISSUED
DIS18-0042,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,6727 SAMUEL DR,OWNER/BUILDER,FINALED
DIS18-0043,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,3720 CEDAR PARK DR,OWNER/BUILDER,FINALED
DIS18-0044,HURRICANE MICHAEL,ELECTRICAL,43397,ELECTRICAL - HM,315 FOXMOOR LN,COMPLETE ELECTRICAL SERV. N.W....,FINALED
DIS18-0045,HURRICANE MICHAEL,ELECTRICAL,43397,HURRICANE REPAIRS,2745 HWY 77,DAVE CAPPS ELECTRIC SERVICE,FINALED
