fulcrum_id,latitude,longitude,name_of_surveyor,date,type_of_disaster,_project,general_notes,photos,photos_caption,photos_url,overall_building_condition,building_address_sub_thoroughfare,building_address_thoroughfare,building_address_suite,building_address_locality,building_address_sub_admin_area,building_address_admin_area,building_address_postal_code,building_address_country,address_full,assessment_type,assessment_type_other,year_built,effective_year_built,number_of_stories,roof_shape,roof_shape_other,roof_cover,roof_cover_other,wall_cladding,wall_cladding_other,first_floor_elevation_ft,other_details,mwfrs,structural_framing_system_other,roof_sheathing_nail_spacing,roof_sheathing_nail_size,roof_sheathing_nail_size_other,roof_to_wall_connection,roof_to_wall_connection_other,opening_protection,opening_protection_other,garage_door,garage_door_location,garage_door_failure,other_structural_details,hazards_present,damage_modes_other,number_of_sides_used,damage_visible_in_photos,roof_cover_damage_,roof_sheathing_dmg,roof_structure_dmg,wall_cover_dmg,wall_sheathing_dmg,wall_structure_dmg,windows_dmg,doors_dmg,damage_description,water_height_inches,structure_usable,qc_id,qc_code,qc_notes
cf4e5e73-25fd-46d2-9055-d3a7fed1b836,26.170294,-81.698241,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"34d42212-4da1-4fbc-97d3-32541a30b36e,09273e26-a0e9-43bc-ac10-ac87c369c919,22341f93-3172-4686-9c16-0b6df3c0a2cf,8537db33-3d65-4d81-8b03-983cd25da4c0",",,,",https://web.fulcrumapp.com/photos/view?photos=34d42212-4da1-4fbc-97d3-32541a30b36e%2C09273e26-a0e9-43bc-ac10-ac87c369c919%2C22341f93-3172-4686-9c16-0b6df3c0a2cf%2C8537db33-3d65-4d81-8b03-983cd25da4c0,2,4571,32nd Ave SW,,Naples,Collier,FL,34116,US,4571 32nd Ave SW Naples Collier FL 34116 US,Single Family Residence,,1982,,1,Gable,,Asphalt shingles (3-tab),,Stucco,,0,,,,,Unknown,,,,Shutters,,,,,,Wind,,,,10,10%,10%,0%,0%,0%,0%,0%,Back porch overhang failed.,,,Robyn Manhard,2a,"Added address and overall building condition. Changed name of surveyor to ""Daniel Smith"". Coordinates adjusted. Photos added from duplicate record. Changed damage level to Moderate. Aerial photo added. Damage ratios added."
4c5b4160-a159-4e2d-ab5b-633e0ab6ea10,26.170554,-81.701669,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"26278367-e6db-43a2-9cfb-b5b61ea9b4e7,89f39622-26c8-4058-a10c-44ffcbe2b0e8",",",https://web.fulcrumapp.com/photos/view?photos=26278367-e6db-43a2-9cfb-b5b61ea9b4e7%2C89f39622-26c8-4058-a10c-44ffcbe2b0e8,2,3168,Tropicana Blvd,,Naples,Collier,FL,34116,US,3168 Tropicana Blvd Naples Collier FL 34116 US,Single Family Residence,,1996,,1,Gable,,Asphalt shingles (3-tab),,Stucco,,0,,,,,Unknown,,,,Shutters,,,,,,Wind,,2,yes,20,0%,0%,0%,0%,0%,0%,0%,Roof cover damage to back of house evident in aerials.,,,Robyn Manhard,2a,"Added address and overall building condition. Changed name of surveyor to ""Daniel Smith"". Moved coordinates from road to building footprint. Added aerial imagery and roof cover damage ratio."
45364fba-92df-4e4f-8f06-e3b89d6780ae,26.170624,-81.700674,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"b781a39c-0157-4bb3-b5e4-37fe658a9007,8dc4896d-9d98-499b-a310-54041369bd52",",",https://web.fulcrumapp.com/photos/view?photos=b781a39c-0157-4bb3-b5e4-37fe658a9007%2C8dc4896d-9d98-499b-a310-54041369bd52,2,4738,31st Pl SW,,Naples,Collier,FL,34116,US,4738 31st Pl SW Naples Collier FL 34116 US,Single Family Residence,,1980,,1,Hip,,Asphalt shingles (3-tab),,Stucco,,0,,,,,Unknown,,,,,,,,,,Wind,,2,yes,30,0%,0%,0%,0%,0%,0%,0%,Extensive roof cover damage to back (south slope) of roof.,,,Robyn Manhard,2a,"Added address and overall building condition. Changed name of surveyor to ""Daniel Smith"". Coordinates adjusted. Aerial image added."
b7ffb5ec-934e-4b9a-bfea-414268a382c9,26.170672,-81.699016,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"ae9d29ca-8113-4c5c-a3e9-d1e11ca859c3,ca1079fc-f7a9-43fd-846f-1456f0c1764e",",",https://web.fulcrumapp.com/photos/view?photos=ae9d29ca-8113-4c5c-a3e9-d1e11ca859c3%2Cca1079fc-f7a9-43fd-846f-1456f0c1764e,1,4600,31st Pl SW,,Naples,Collier,FL,34116,US,4600 31st Pl SW Naples Collier FL 34116 US,Single Family Residence,,1981,,1,Hip,,Asphalt shingles (3-tab),,Stucco,,0,,,,,Unknown,,,,,,,,,,Wind,,,,0,0%,0%,10%,0%,0%,0%,0%,"Minor soffit damage, treated as wall cover.",,,Robyn Manhard,2a,"Added address and overall building condition. Changed name of surveyor to ""Daniel Smith"". Coordinates adjusted. "
64303880-d6ab-4145-8538-d81f749f761d,26.174235,-81.691659,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"5d56a147-227d-42ec-8877-a8f2492171fc,ac55cc9c-9114-40ae-a40a-4635ab01a7f0",",",https://web.fulcrumapp.com/photos/view?photos=5d56a147-227d-42ec-8877-a8f2492171fc%2Cac55cc9c-9114-40ae-a40a-4635ab01a7f0,1,4214,29th Pl SW,,Naples,Collier,FL,34116,US,4214 29th Pl SW Naples Collier FL 34116 US,Single Family Residence,,2002,,1,Hip,,Tile (clay),,Stucco,,0,,,,,Unknown,,,,,,,,,,Wind,,2,yes,10,0%,0%,0%,0%,0%,0%,0%,n/a,,,Robyn Manhard,2a,Changed surveyor name to Daniel Smith. Added Overall Building Condition. Adjusted coordinates. Survey date corrected. Roof cover damage added. Aerial image added.
6b2460c5-f17d-4200-8569-76ecdf5e67c9,26.173686,-81.689639,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"78a9493a-c969-4597-b73f-9dd98ec9694c,6c51b4d7-7368-4306-8720-0daa30d6d867",",",https://web.fulcrumapp.com/photos/view?photos=78a9493a-c969-4597-b73f-9dd98ec9694c%2C6c51b4d7-7368-4306-8720-0daa30d6d867,1,2995,41st St SW,,Naples,Collier,FL,34116,US,2995 41st St SW Naples Collier FL 34116 US,Single Family Residence,,1980,,1,Hip,,Asphalt shingles (3-tab),,Stucco,,0,,,,,Unknown,,,,,,,,,,,,,,10,0%,0%,0%,0%,0%,0%,0%,n/a,,,Robyn Manhard,2a,Added building address and adjusted GPS coordinates. Added building condition. Changed Surveyor name to Daniel Smith. Survey date corrected. 10% roof cover damage added based on aerials and photo.
659e0299-da6c-448b-8c8a-04e4ac4b842b,26.170612,-81.690661,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"086359d1-022a-4e6e-890c-986b4df55b73,366e794d-ebd1-40a9-820e-5a4114babf91",",",https://web.fulcrumapp.com/photos/view?photos=086359d1-022a-4e6e-890c-986b4df55b73%2C366e794d-ebd1-40a9-820e-5a4114babf91,1,4157,32nd Ave SW,,Naples,Collier,FL,34116,US,4157 32nd Ave SW Naples Collier FL 34116 US,Single Family Residence,,1992,,1,Hip,,Asphalt shingles (3-tab),,Stucco,,0,,,,,Unknown,,,,,,,,,,,,2,yes,20,0%,0%,0%,0%,0%,0%,0%,n/a,,,Robyn Manhard,2a,Added address and adjusted coordinates. Changed surveyor name to Daniel Smith. Added overall building condition. Survey date corrected. Up to 20% roof cover may be damaged based on aerials and photo.
c320ab17-f8f5-4ef5-a232-c65d1c9445d6,26.170614,-81.691139,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,b808536a-5c5b-46da-abd7-ceac20ff2d76,,https://web.fulcrumapp.com/photos/view?photos=b808536a-5c5b-46da-abd7-ceac20ff2d76,1,4185,32nd Ave SW,,Naples,Collier,FL,34116,US,4185 32nd Ave SW Naples Collier FL 34116 US,Single Family Residence,,1980,,1,Gable,,Asphalt shingles (3-tab),,Stucco,,0,,Unknown,,,Unknown,,,,None,,,,,,Wind,,1,yes,10,0%,0%,0%,0%,0%,0%,0%,n/a,,,Robyn Manhard,2a,Added building address and adjusted coordinates. Changed surveyor name to Daniel Smith. Added overall building condition. Survey date corrected. Address verified. Damage ratio added based on photo alone. 
77814e2b-ce3b-4660-b433-c08a9a87cf8a,26.170559,-81.692123,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"e106279c-d2e8-4d45-b78b-996ad2d2debb,c4af2b35-6db2-46f7-89c0-96f5cd9e0cb9",",",https://web.fulcrumapp.com/photos/view?photos=e106279c-d2e8-4d45-b78b-996ad2d2debb%2Cc4af2b35-6db2-46f7-89c0-96f5cd9e0cb9,1,4243,32nd Ave SW,,Naples,Collier,FL,34116,US,4243 32nd Ave SW Naples Collier FL 34116 US,Single Family Residence,,1995,,1,Hip,,Asphalt shingles (3-tab),,Stucco,,0,,Unknown,,,Unknown,,,,Shutters,,yes,,No,,Wind,,,yes,10,0%,0%,0%,0%,0%,0%,0%,n/a,,yes,Robyn Manhard,2a,"Address updated and coordinates adjusted. Surveyor name changed to Daniel 
Smith. Overall building condition added. Survey date corrected. Aerial image added. Damage ratios added."
bd1d2906-d0e1-494a-9fa1-c5e1c72eb9fd,26.170528,-81.692866,Daniel Smith,9/12/2017,Hurricane,CMMI-1761461,,"f203eef1-98b7-4759-b95a-db0c2b878721,7d5d536b-d980-42e8-b211-5d9d0923983e",",",https://web.fulcrumapp.com/photos/view?photos=f203eef1-98b7-4759-b95a-db0c2b878721%2C7d5d536b-d980-42e8-b211-5d9d0923983e,1,4285,32nd Ave SW,,Naples,Collier,FL,34116,US,4285 32nd Ave SW Naples Collier FL 34116 US,Single Family Residence,,1984,,1,Hip,,Asphalt shingles (3-tab),,Stucco,,0,,Unknown,,,Unknown,,Unknown,,Plywood/OSB,,yes,,No,,Wind,,,,10,0%,0%,0%,0%,0%,0%,0%,n/a,,,Robyn Manhard,2a,Added address and updated coordinates. Survey date corrected. Overall building condition added. Surveyor name changed to Daniel Smith. Roof cover damage updated. Aerial image attached.
