fulcrum_id,status,project,latitude,longitude,name_of_investigator,date,general_notes,assessment_type,all_photos,all_photos_caption,all_photos_url,audio,audio_url,overall_damage_notes,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,attribute_notes,address_sub_thoroughfare,address_thoroughfare,address_suite,address_locality,address_sub_admin_area,address_admin_area,address_postal_code,address_country,address_full,building_type,number_of_stories,understory_pct_of_building_footprint,first_floor_elevation_feet,year_built,roof_shape,roof_slope,front_elevation_orientation,structural_notes,mwfrs,foundation_type,wall_anchorage_type,wall_structure,wall_substrate,wall_cladding,soffit_type,front_wall_fenestration_ratio,front_wall_fenestration_protection,left_wall_fenestration_ratio,left_wall_fenestration_protection,back_wall_fenestration_ratio,back_wall_fenestration_protection,right_wall_fenestration_ratio,right_wall_fenestration_protection,large_door_present,large_door_opening_type_front,large_door_opening_type_left,large_door_opening_type_back,large_door_opening_type_right,roof_system,r2wall_attachment,r2w_attachment_type,roof_substrate_type,roof_cover,secondary_water_barrier,overhang_length,parapet_height_inches,wind_damage_details,roof_structure_damage_,roof_substrate_damage,roof_cover_damage_,wall_structure_damage_,wall_substrate_damage_,building_envelope_damage_,front_wall_fenestration_damage,left_wall_fenestration_damage,back_wall_fenestration_damage,right_wall_fenestration_damage,large_door_failure,soffit_damage,fascia_damage_,stories_with_damage,water_induced_damage_notes,percent_of_building_footprint_eroded,_damage_to_understory,maximum_scour_depth_inches,_piles_missing_or_collapsed,_piles_leaning_or_broken,cause_of_foundation_damage,reroof_year,retrofit_type_1,retrofit_1_year,retrofit_type_2,retrofit_2_year,data_librarians,qc_progress_code,qc_notes
448e5327-48b4-4134-83e8-b78e636da803,4,Hurricane Michael (2018),30.287316,-85.641008,Jean-Paul Pinelli,10/13/2018,,Drive-by,"0f94008f-df00-473c-b180-6ad9aac0bdad,f23cb0ae-be82-4aee-b4fb-723649fbac9d",,https://web.fulcrumapp.com/photos/view?photos=0f94008f-df00-473c-b180-6ad9aac0bdad%2Cf23cb0ae-be82-4aee-b4fb-723649fbac9d,,,,"Tree,Wind",4,0,,,1842,BRIDGE ST,,Panama City,BAY,FL,32409,USA,1842 BRIDGE ST Panama City BAY FL 32409 USA,Shed,1,,0,1995,Gable,,0,,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,,Wood frame,,Wood Boards,None,,,,,,,,,no,,,,,"""Wood, unknown""",Unknown,,,"""Metal, corrugated""",,,,,25,25,30,,,,,,,,,,,,,,,,,,,,,,,,"Alina, CVB, HZR",2,"Only roof can be seen from Pictomerty, no clear pictures of fenestration or wall damage."
fc0037af-30c2-46b8-b952-9a1b5b41ebca,1,Hurricane Michael (2018),30.285542,-85.643572,Jean-Paul Pinelli,10/13/2018,,On-site,"77e9afce-92ce-4639-8f80-84dd606d8abc,0ee97e46-5636-48cd-a204-9fe021e3449c,cd591229-9833-4900-a382-37fe20c70d36,7191b4e8-7b2a-44d9-951a-866ce35025bd",,https://web.fulcrumapp.com/photos/view?photos=77e9afce-92ce-4639-8f80-84dd606d8abc%2C0ee97e46-5636-48cd-a204-9fe021e3449c%2Ccd591229-9833-4900-a382-37fe20c70d36%2C7191b4e8-7b2a-44d9-951a-866ce35025bd,,,,"Tree,Wind",1,0,,,7437,MARKET ST,,Southport,BAY,FL,32409,USA,7437 MARKET ST Southport BAY FL 32409 USA,Single Family,1,,,1986,Gable,,270,,"""Roof Diaphragm, wood""",,Unknown,Wood frame,Unknown,Brick,Wood,60,Unknown,0,,,,10,,yes,Single garage door (standard),None,None,None,"""Wood, rafter""",Unknown,,Unknown,Clay tiles,Unknown,6,0,,0,0,0,0,0,0,0,0,0,0,None,0,0,0,,,0,,0,0,,,,,,,Alina,2e,
31f12b33-b0cf-4dbd-b690-b97464c57fa2,3,Hurricane Michael (2018),30.283787,-85.643142,Jean-Paul Pinelli,10/13/2018,,On-site,"9547f4bb-2daa-4a38-8f56-a48a161d5737,2229069b-9897-4b7d-93a3-734dfe1218aa,133335ed-d236-497a-8790-b3286c174bcb,c7accf77-0d90-40a2-92b4-451c0f0282ef",,https://web.fulcrumapp.com/photos/view?photos=9547f4bb-2daa-4a38-8f56-a48a161d5737%2C2229069b-9897-4b7d-93a3-734dfe1218aa%2C133335ed-d236-497a-8790-b3286c174bcb%2Cc7accf77-0d90-40a2-92b4-451c0f0282ef,,,,Wind,3,0,-1,,7338,MARKET ST,,Panama City,BAY,FL,32409,USA,7338 MARKET ST Panama City BAY FL 32409 USA,Single Family,1,0,0,1968,Gable,14,275,,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Fiber-Cement Board,Plywood Siding",Vinyl,55,,40,,45,,10,,no,None,None,None,None,"""Wood, trusses""",Unknown,,Plywood/OSB,"""Metal, standing seam""",Unknown,12,0,Wall damage not quantifiable but present.,0,12,13,0,0,0,0,0,0,0,None,,17,1,,0,0,0,0,0,Unknown,,,,,,"Alina, KMA",3e,Fenestration and wall cladding damage not known with available information.
6a07c0e3-e9fc-471e-88b2-85b81a0b7002,2,Hurricane Michael (2018),30.287418,-85.641535,Tim Johnson,10/13/2018,,On-site,"39808c4d-b489-4b90-a018-ad5cc555a03c,fd4a97ce-0d00-4a0b-9b40-203b2856dd75,5e48a3f5-70d0-498c-8cc1-f30906d5a352,59cb5100-3d2a-4066-a778-685470b38bcb",,https://web.fulcrumapp.com/photos/view?photos=39808c4d-b489-4b90-a018-ad5cc555a03c%2Cfd4a97ce-0d00-4a0b-9b40-203b2856dd75%2C5e48a3f5-70d0-498c-8cc1-f30906d5a352%2C59cb5100-3d2a-4066-a778-685470b38bcb,,,School classroom building,"Rain,Wind",2,0,,,1832,BRIDGE ST,,Panama City,BAY,FL,32409,USA,1832 BRIDGE ST Panama City BAY FL 32409 USA,Educational,1,0,0,1940,,,,,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,,Masonry (unreinforced),,Brick,Unknown,,,,,,,,,,,,,,"""Wood, unknown""",Unknown,,,"""Metal, standing seam""",,,,,5,0,10,0,,0,,,,,,,,,,,,,,,,,,,,,"Alina, CVB",2,
8dbd6297-c13c-4dd0-b281-08443b296914,1,Hurricane Michael (2018),30.287334,-85.643524,"Tim Johnson, Justin Marshall",10/13/2018,,On-site,"0e9463f5-e31d-4430-bcb7-70639f6d3c5a,a27a9aa4-294c-48c5-a75a-09a1e0ce8e32,ebdb9162-31f9-45e6-8446-46c4553443e4,7b02a609-f42a-4f7b-b6b1-ad2c324b9a79,ce6d8e67-ef04-43ea-a75a-c10bf9cca7ee,bc175b5a-b8dd-4c0a-a4cf-0963ee753525,85cf7cff-f2f4-4c62-aba7-d0352faea586,4f8f9a3b-074b-476e-8dac-8eee06b16420,c2f08e10-ef77-465a-ae2a-04403dc77a23",,https://web.fulcrumapp.com/photos/view?photos=0e9463f5-e31d-4430-bcb7-70639f6d3c5a%2Ca27a9aa4-294c-48c5-a75a-09a1e0ce8e32%2Cebdb9162-31f9-45e6-8446-46c4553443e4%2C7b02a609-f42a-4f7b-b6b1-ad2c324b9a79%2Cce6d8e67-ef04-43ea-a75a-c10bf9cca7ee%2Cbc175b5a-b8dd-4c0a-a4cf-0963ee753525%2C85cf7cff-f2f4-4c62-aba7-d0352faea586%2C4f8f9a3b-074b-476e-8dac-8eee06b16420%2Cc2f08e10-ef77-465a-ae2a-04403dc77a23,,,Church,"Tree,Wind",1,0,-1,,1732,BRIDGE ST,,SOUTHPORT,BAY,FL,32409,USA,1732 BRIDGE ST SOUTHPORT BAY FL 32409 USA,Religious,1,0,0,1955,Gable,22,5,,"""Roof Diaphragm, wood"",""Wall Diaphragm, masonry""",Slab-on-grade,Unknown,Masonry (unreinforced),Unknown,Stucco,Vinyl,15,Unknown,,Unknown,,Unknown,15,Unknown,no,None,None,None,None,"""Wood, unknown""",Unknown,,Unknown,"Asphalt shingles (laminated),""Metal, corrugated""",Unknown,10,0,,0,5,10,0,0,0,0,0,0,0,None,5,5,1,,0,0,0,0,0,Unknown,,,,,,"Alina, KMA, Madeline Rihner",3e,
b03b46c0-61b5-4648-97b3-4a7e40224cb6,4,Hurricane Michael (2018),30.156429,-85.637995,Tim Johnson,10/13/2018,,On-site,"5ee0377f-f420-4479-9236-376e3ec29d53,411870af-340a-4955-919c-5675f33bcfbb,3e92c087-10aa-400e-9556-3b370406eee9,1e685033-0bfa-41bc-958a-c0101a743cb7",,https://web.fulcrumapp.com/photos/view?photos=5ee0377f-f420-4479-9236-376e3ec29d53%2C411870af-340a-4955-919c-5675f33bcfbb%2C3e92c087-10aa-400e-9556-3b370406eee9%2C1e685033-0bfa-41bc-958a-c0101a743cb7,,,Boat storage hangar,Wind,4,0,,,1654,5TH ST E,,Panama City,BAY,FL,32401,USA,1654 5TH ST E Panama City BAY FL 32401 USA,Warehouse,1,0,,2016,Gable,5,270,,"""Roof Diaphragm, steel"",""Wall Diaphragm, steel"",Moment Frame",Slab-on-grade,Unknown,"""Steel, moment resisting frame""",Not Applicable,Corrugated steel panels,None,10,None,15,None,0,None,20,None,yes,None,boat garage door,None,boat garage door,"""Steel, joists""",Unknown,,None,"""Metal, standing seam""",None,0,0,,10,,10,15,,15,0,100,0,0,Left,,0,1,,,,,,,,,,,,,"Alina, Madeline Rihner",3,
bbbe1a26-62a2-4d08-8090-c03622dc07af,3,Hurricane Michael (2018),30.156565,-85.647866,Tim Johnson,10/13/2018,,On-site,"5c75ee5c-35e2-4cb7-8055-a4d8ee29673a,be4a32a8-def1-45da-8509-05a9571ac9f5,b57e3a7f-8988-46d8-bee8-cb811cd727af",,https://web.fulcrumapp.com/photos/view?photos=5c75ee5c-35e2-4cb7-8055-a4d8ee29673a%2Cbe4a32a8-def1-45da-8509-05a9571ac9f5%2Cb57e3a7f-8988-46d8-bee8-cb811cd727af,,,,Wind,3,0,,,500,PALO ALTO AVE S,,Panama City,BAY,FL,32401,USA,500 PALO ALTO AVE S Panama City BAY FL 32401 USA,Religious,1,0,0,1967,Gable,53,180,,,,,Masonry (unreinforced),Not Applicable,Brick,,20,,10,,0,,10,,,,,,,"""Steel, hot rolled"",""Wood, unknown""",Unknown,,Plywood/OSB,Asphalt shingles (3-tab),,,,,25,25,50,5,5,5,0,0,,50,,,,,,,,,,,,,,,,,"Alina, HZR",3,
7a7d5452-a75d-4fb8-a86e-621c1781d6e1,4,Hurricane Michael (2018),30.155879,-85.647867,Tim Johnson,10/13/2018,,On-site,"2713baec-2776-4531-a27c-4556e4dcee2a,6d7beeac-ca15-4990-86f4-70a2f86bcb13,93e08bfa-e8d3-4732-afc9-f2578bab1b2f,615fe80c-6c18-49ad-9fb3-ad7a68f5e96f",,https://web.fulcrumapp.com/photos/view?photos=2713baec-2776-4531-a27c-4556e4dcee2a%2C6d7beeac-ca15-4990-86f4-70a2f86bcb13%2C93e08bfa-e8d3-4732-afc9-f2578bab1b2f%2C615fe80c-6c18-49ad-9fb3-ad7a68f5e96f,,,Church fascia damage,Wind,4,0,,,903,4TH ST E,,Panama City,BAY,FL,32401,USA,903 4TH ST E Panama City BAY FL 32401 USA,Religious,2,0,0,1967,"Gable,Hip",,0,,,,,Masonry (unknown),,Brick,Vinyl,,,,,,,,,,,,,,"""Wood, rafter""",Unknown,,Plywood/OSB,Asphalt shingles (3-tab),,,,Damage ratios are based on Pictometry Eagleview images.,12,20,35,5,5,5,0,0,0,0,,,,"1,2",,,,,,,,,,,,,"Alina, HZR",2,
1bc561cd-13fc-45d8-80a5-e349fd5ec40c,3,Hurricane Michael (2018),30.155828,-85.647247,Tim Johnson,10/13/2018,,On-site,"234e85df-9ad9-49cc-b505-cc0c330cc6ce,9a5e8cb8-238f-4e95-baa4-ef536625959d,a0d3ff4d-7c12-4da2-99c1-5b4fe72333e6,d0416c76-98d1-4deb-a1ca-5a388a8d21ff,5526314b-cc92-4a0a-839f-0e6ad4e59777,205ea98c-bfe9-4076-a386-10b898384ebd",,https://web.fulcrumapp.com/photos/view?photos=234e85df-9ad9-49cc-b505-cc0c330cc6ce%2C9a5e8cb8-238f-4e95-baa4-ef536625959d%2Ca0d3ff4d-7c12-4da2-99c1-5b4fe72333e6%2Cd0416c76-98d1-4deb-a1ca-5a388a8d21ff%2C5526314b-cc92-4a0a-839f-0e6ad4e59777%2C205ea98c-bfe9-4076-a386-10b898384ebd,,,,"Wind,Wind-borne debris",3,0,2,,903,E 4th St,,Panama City,Bay,FL,32401,USA,903 E 4th St Panama City Bay FL 32401 USA,Religious,2,0,0,1967,Gable,19,0,,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Unknown,Masonry (unknown),Unknown,Brick,Vinyl,30,Unknown,50,Unknown,30,Unknown,50,Unknown,no,None,None,None,None,"""Wood, rafter""",Unknown,,Plywood/OSB,Asphalt shingles (laminated),Unknown,12,0,,20,25,30,0,0,10,50,70,40,70,None,30,30,"1,2",,,,,,,,,,,,,"Alina, HZR",3,
46bb7f37-73bf-4192-a369-5f1e26861b43,3,Hurricane Michael (2018),30.156562,-85.645948,Tim Johnson,10/13/2018,,On-site,"6db2837b-7bae-483d-b081-f4658f59afd9,95006ef5-a542-4161-bd10-0f9cf5512ebe,3a947840-0659-4c9f-9cc8-6549e82ba296,74a4d39d-ebc9-4875-a0a3-0657a3a026b7,1378b5cf-58cf-4a0e-bfb0-7eab6063cfac,b6369f76-17cc-4be0-a55a-555abd1fafb6,a279f36e-f23f-41ad-bd2b-7552c04e33fc,4782280c-84de-47d9-a5d8-5bad32ad547f",,https://web.fulcrumapp.com/photos/view?photos=6db2837b-7bae-483d-b081-f4658f59afd9%2C95006ef5-a542-4161-bd10-0f9cf5512ebe%2C3a947840-0659-4c9f-9cc8-6549e82ba296%2C74a4d39d-ebc9-4875-a0a3-0657a3a026b7%2C1378b5cf-58cf-4a0e-bfb0-7eab6063cfac%2Cb6369f76-17cc-4be0-a55a-555abd1fafb6%2Ca279f36e-f23f-41ad-bd2b-7552c04e33fc%2C4782280c-84de-47d9-a5d8-5bad32ad547f,,,Metal roof failure. 100 % roof cover failure on engineered building,Wind,3,0,,,1027,U.S. 98 Business,,Panama City,BAY,FL,32401,USA,1027 U.S. 98 Business Panama City BAY FL 32401 USA,Assisted Living Center,3,0,0,1992,Gable/Hip Combo,,145,,,,Unknown,Unknown,Unknown,,Vinyl,60,,,,,,50,,,,,,,"""Steel, joists""",Unknown,,,"""Metal, corrugated""",,,,,0,,100,0,0,0,15,,,15,,40,15,,,,,,,,,,,,,,"Alina, HZR",2,
