ID,Lat,,Vg_mph,Vsus_mph,Lon
139991,25.799999,97.160004,46.87,36.45,-97.160004
139992,25.799999,97.169998,46.68,36.3,-97.169998
139993,25.799999,97.18,46.49,36.16,-97.18
139994,25.799999,97.190002,46.3,36.01,-97.190002
139995,25.799999,97.199997,46.11,35.86,-97.199997
139996,25.799999,97.209999,45.92,35.71,-97.209999
139997,25.799999,97.220001,45.73,35.56,-97.220001
139998,25.799999,97.230003,45.54,35.41,-97.230003
139999,25.799999,97.239998,45.34,35.26,-97.239998
140000,25.799999,97.25,45.15,35.1,-97.25
140001,25.809999,97.160004,47.03,36.57,-97.160004
140002,25.809999,97.169998,46.84,36.43,-97.169998
140003,25.809999,97.18,46.65,36.28,-97.18
140004,25.809999,97.190002,46.46,36.13,-97.190002
140005,25.809999,97.199997,46.27,35.99,-97.199997
140006,25.809999,97.209999,46.08,35.84,-97.209999
140007,25.809999,97.220001,45.89,35.68,-97.220001
140008,25.809999,97.230003,45.7,35.53,-97.230003
140009,25.809999,97.239998,45.5,35.38,-97.239998
140010,25.809999,97.25,45.3,35.22,-97.25
140011,25.82,97.160004,47.18,36.7,-97.160004
140012,25.82,97.169998,47,36.55,-97.169998
140013,25.82,97.18,46.81,36.4,-97.18
140014,25.82,97.190002,46.62,36.26,-97.190002
140015,25.82,97.199997,46.43,36.11,-97.199997
140016,25.82,97.209999,46.24,35.96,-97.209999
140017,25.82,97.220001,46.04,35.81,-97.220001
140018,25.82,97.230003,45.85,35.65,-97.230003
140019,25.82,97.239998,45.65,35.5,-97.239998
140020,25.82,97.25,45.46,35.34,-97.25
140021,25.83,97.160004,47.34,36.82,-97.160004
140022,25.83,97.169998,47.15,36.67,-97.169998
140023,25.83,97.18,46.96,36.53,-97.18
140024,25.83,97.190002,46.78,36.38,-97.190002
140025,25.83,97.199997,46.59,36.23,-97.199997
140026,25.83,97.209999,46.39,36.08,-97.209999
140027,25.83,97.220001,46.2,35.93,-97.220001
140028,25.83,97.230003,46.01,35.78,-97.230003
140029,25.83,97.239998,45.81,35.62,-97.239998
140030,25.83,97.25,45.61,35.46,-97.25
140031,25.84,97.160004,47.51,36.95,-97.160004
