ID,Lat,,Vgust (mph),Vsus (mph),Lon
100001,24.48,81.720001,111.57,92.2,-81.720001
100002,24.530001,81.919998,105.99,86.56,-81.919998
100003,24.549999,82.160004,99.85,81.23,-82.160004
100004,24.549999,82.129997,100.88,82.21,-82.129997
100005,24.549999,82.120003,99.82,80.62,-82.120003
100006,24.549999,81.809998,105.64,84.38,-81.809998
100007,24.549999,81.800003,106.08,84.94,-81.800003
100008,24.549999,81.790001,105.72,84.24,-81.790001
100009,24.549999,81.779999,105.38,83.52,-81.779999
100010,24.549999,81.589996,118.13,97.28,-81.589996
100011,24.559999,82.110001,101.2,82.39,-82.110001
100012,24.559999,81.889999,105.76,85.83,-81.889999
100013,24.559999,81.800003,106.83,86.13,-81.800003
100014,24.559999,81.779999,107.7,87.19,-81.779999
100015,24.559999,81.769997,106.04,84.33,-81.769997
100016,24.559999,81.760002,106.5,84.94,-81.760002
100017,24.559999,81.75,109.56,89.62,-81.75
100018,24.559999,81.720001,106.29,84.02,-81.720001
100019,24.559999,81.709999,106.82,84.69,-81.709999
100020,24.559999,81.699997,106.88,84.68,-81.699997
100021,24.559999,81.690002,107.23,85.11,-81.690002
100022,24.559999,81.68,108.47,86.93,-81.68
100023,24.57,81.809998,113.6,93.37,-81.809998
100024,24.57,81.800003,106.97,86.48,-81.800003
100025,24.57,81.760002,108.17,87.58,-81.760002
100026,24.57,81.75,106.89,85.37,-81.75
100027,24.57,81.739998,107.77,86.68,-81.739998
100028,24.57,81.730003,111.91,92.31,-81.730003
100029,24.57,81.709999,106.79,84.87,-81.709999
100030,24.57,81.699997,107.17,85.12,-81.699997
100031,24.57,81.690002,107.4,85.32,-81.690002
100032,24.57,81.68,108.77,87.4,-81.68
100033,24.57,81.669998,108.3,86.55,-81.669998
100034,24.58,81.919998,106.99,87.87,-81.919998
100035,24.58,81.779999,107.34,86.58,-81.779999
100036,24.58,81.769997,111.12,91.59,-81.769997
100037,24.58,81.75,107.61,86.5,-81.75
100038,24.58,81.739998,108.48,87.7,-81.739998
100039,24.58,81.730003,112.01,92.37,-81.730003
100040,24.58,81.709999,107.95,86.46,-81.709999
100041,24.58,81.699997,108.67,87.46,-81.699997
100042,24.58,81.690002,107.38,85.16,-81.690002
100043,24.58,81.68,107.92,85.91,-81.68
100044,24.58,81.669998,111.56,91.45,-81.669998
100045,24.58,81.660004,113.37,93.56,-81.660004
100046,24.58,81.650002,110.86,90.23,-81.650002
100047,24.58,81.639999,111.61,91.2,-81.639999
100048,24.58,81.629997,113.24,93.24,-81.629997
100049,24.59,82.129997,99.99,81.14,-82.129997
100050,24.59,82.120003,105.7,86.62,-82.120003
100051,24.59,82.110001,101.35,82.62,-82.110001
100052,24.59,81.709999,108.5,87.27,-81.709999
100053,24.59,81.699997,110.55,90.28,-81.699997
100054,24.59,81.68,108.23,86.37,-81.68
100055,24.59,81.669998,108.51,86.69,-81.669998
100056,24.59,81.650002,112.37,92.28,-81.650002
100057,24.59,81.629997,110.9,90.2,-81.629997
100058,24.59,81.610001,109.26,87.05,-81.610001
100059,24.59,81.599998,110.13,88.57,-81.599998
100060,24.6,81.800003,113.83,93.58,-81.800003
100061,24.6,81.669998,110.22,89.4,-81.669998
100062,24.6,81.660004,110.78,90.13,-81.660004
100063,24.6,81.650002,112.91,92.91,-81.650002
100064,24.6,81.610001,109.74,87.8,-81.610001
100065,24.6,81.599998,110.08,88.22,-81.599998
100066,24.6,81.589996,110.36,88.74,-81.589996
100067,24.6,81.580002,109.87,87.98,-81.580002
100068,24.610001,81.650002,113.67,93.74,-81.650002
100069,24.610001,81.629997,113.29,93.26,-81.629997
100070,24.610001,81.620003,112.97,92.81,-81.620003
100071,24.610001,81.610001,110.56,89.15,-81.610001
100072,24.610001,81.599998,114.58,94.6,-81.599998
100073,24.610001,81.589996,112.82,92.37,-81.589996
100074,24.610001,81.580002,111.66,90.56,-81.580002
100075,24.610001,81.559998,110.22,88.52,-81.559998
100076,24.610001,81.470001,115.47,94.98,-81.470001
100077,24.620001,81.620003,109.64,88.75,-81.620003
100078,24.620001,81.610001,112.23,91.72,-81.610001
100079,24.620001,81.580002,114.98,94.92,-81.580002
100080,24.620001,81.559998,110.02,87.87,-81.559998
100081,24.620001,81.550003,110.6,88.32,-81.550003
100082,24.620001,81.540001,111.12,89.17,-81.540001
100083,24.620001,81.529999,111.18,89.04,-81.529999
100084,24.620001,81.519997,114.57,94.23,-81.519997
100085,24.629999,81.699997,110.37,90,-81.699997
100086,24.629999,81.620003,110.37,88.99,-81.620003
100087,24.629999,81.610001,110.14,88.47,-81.610001
100088,24.629999,81.57,112.1,91.06,-81.57
100089,24.629999,81.550003,111.64,90.08,-81.550003
100090,24.629999,81.540001,111.68,90.02,-81.540001
100091,24.629999,81.529999,115.8,95.62,-81.529999
100092,24.629999,81.510002,116.11,95.92,-81.510002
100093,24.629999,81.379997,122.22,100.86,-81.379997
100094,24.629999,81.370003,122.41,101.01,-81.370003
100095,24.639999,81.730003,109.31,88.92,-81.730003
100096,24.639999,81.580002,112.75,92.14,-81.580002
100097,24.639999,81.57,113.16,92.65,-81.57
100098,24.639999,81.559998,112.51,91.62,-81.559998
100099,24.639999,81.519997,111.84,90.09,-81.519997
100100,24.639999,81.510002,114.88,94.44,-81.510002
100101,24.639999,81.339996,117.79,97.01,-81.339996
100102,24.65,81.730003,115.53,95.02,-81.730003
100103,24.65,81.610001,111.87,91.17,-81.610001
100104,24.65,81.599998,110.63,89.08,-81.599998
100105,24.65,81.589996,113.58,93.32,-81.589996
100106,24.65,81.580002,113.08,92.58,-81.580002
100107,24.65,81.57,118.85,97.87,-81.57
100108,24.65,81.529999,113.44,92.61,-81.529999
100109,24.65,81.440002,114.89,94.07,-81.440002
100110,24.65,81.419998,112.99,90.73,-81.419998
100111,24.65,81.410004,114.61,93.25,-81.410004
100112,24.65,81.330002,121.72,100.21,-81.330002
100113,24.65,81.32,117.34,96.83,-81.32
100114,24.65,81.309998,117.93,96.93,-81.309998
100115,24.66,81.699997,109.89,89.56,-81.699997
100116,24.66,81.610001,114.18,94.31,-81.610001
100117,24.66,81.57,115.17,95.06,-81.57
100118,24.66,81.540001,111.11,89.07,-81.540001
100119,24.66,81.529999,112.01,90.39,-81.529999
100120,24.66,81.519997,114.38,93.79,-81.519997
100121,24.66,81.510002,112.67,91.35,-81.510002
100122,24.66,81.480003,113.29,91.93,-81.480003
100123,24.66,81.449997,113.03,91.16,-81.449997
100124,24.66,81.440002,115.99,95.43,-81.440002
100125,24.66,81.419998,112.9,90.62,-81.419998
100126,24.66,81.410004,114.32,92.75,-81.410004
100127,24.66,81.400002,116.27,95.49,-81.400002
100128,24.66,81.389999,115.29,94.04,-81.389999
100129,24.66,81.370003,113.77,91.55,-81.370003
100130,24.66,81.360001,115.28,94.57,-81.360001
100131,24.66,81.349998,116.01,94.62,-81.349998
100132,24.66,81.339996,116.78,95.63,-81.339996
100133,24.66,81.269997,120.61,99.83,-81.269997
100134,24.67,81.639999,110.41,89.28,-81.639999
100135,24.67,81.629997,117.61,96.82,-81.629997
100136,24.67,81.580002,113.03,92.49,-81.580002
100137,24.67,81.57,113.21,92.65,-81.57
100138,24.67,81.550003,111.93,90.54,-81.550003
100139,24.67,81.540001,112.1,90.68,-81.540001
100140,24.67,81.529999,114.17,93.7,-81.529999
100141,24.67,81.519997,110.34,87.55,-81.519997
100142,24.67,81.510002,110.77,88.13,-81.510002
100143,24.67,81.5,111.34,88.96,-81.5
100144,24.67,81.489998,112.17,90.19,-81.489998
100145,24.67,81.480003,113.86,92.75,-81.480003
100146,24.67,81.459999,112.3,90.05,-81.459999
100147,24.67,81.449997,113.6,92.05,-81.449997
100148,24.67,81.400002,118.03,97.64,-81.400002
100149,24.67,81.389999,116.15,95.26,-81.389999
100150,24.67,81.370003,113,90.07,-81.370003
100151,24.67,81.360001,113.71,91.04,-81.360001
100152,24.67,81.349998,114.74,92.6,-81.349998
100153,24.67,81.339996,123.01,101.54,-81.339996
100154,24.67,81.260002,116.93,94.58,-81.260002
100155,24.68,81.690002,116.32,95.72,-81.690002
100156,24.68,81.660004,110.93,90.34,-81.660004
100157,24.68,81.559998,111.1,89.31,-81.559998
100158,24.68,81.550003,112.29,91.08,-81.550003
100159,24.68,81.519997,110.65,88.01,-81.519997
100160,24.68,81.510002,111.14,88.66,-81.510002
100161,24.68,81.5,111.62,89.32,-81.5
100162,24.68,81.489998,112.49,90.65,-81.489998
100163,24.68,81.480003,116.69,96.45,-81.480003
100164,24.68,81.459999,120.57,99.49,-81.459999
100165,24.68,81.449997,113.7,92.23,-81.449997
100166,24.68,81.410004,113.95,92.15,-81.410004
100167,24.68,81.389999,122.03,100.67,-81.389999
100168,24.68,81.370003,113.37,90.72,-81.370003
100169,24.68,81.360001,114.23,92.03,-81.360001
100170,24.68,81.349998,116.45,95.24,-81.349998
100171,24.68,81.32,116,94.33,-81.32
100172,24.68,81.230003,122,100.99,-81.230003
100173,24.690001,81.68,113.06,93.26,-81.68
100174,24.690001,81.669998,109.59,88.45,-81.669998
100175,24.690001,81.559998,119.03,98,-81.559998
100176,24.690001,81.529999,119.57,98.46,-81.529999
100177,24.690001,81.510002,111.93,89.97,-81.510002
100178,24.690001,81.5,113.01,91.59,-81.5
100179,24.690001,81.489998,116.54,96.27,-81.489998
100180,24.690001,81.470001,114.03,92.91,-81.470001
100181,24.690001,81.459999,114.54,93.56,-81.459999
100182,24.690001,81.419998,116.87,96.41,-81.419998
100183,24.690001,81.410004,114.82,93.51,-81.410004
100184,24.690001,81.400002,115.57,94.61,-81.400002
100185,24.690001,81.379997,113.2,90.49,-81.379997
100186,24.690001,81.370003,114.13,91.86,-81.370003
100187,24.690001,81.360001,116.28,95.1,-81.360001
100188,24.690001,81.330002,114.66,92.16,-81.330002
100189,24.690001,81.32,116.44,94.85,-81.32
100190,24.690001,81.110001,124.77,103.29,-81.110001
100191,24.690001,81.099998,124.82,103.33,-81.099998
100192,24.690001,81.089996,125.96,104.04,-81.089996
100193,24.690001,81.080002,124.04,102.19,-81.080002
100194,24.700001,81.599998,114.63,94.59,-81.599998
100195,24.700001,81.540001,118.99,98.12,-81.540001
100196,24.700001,81.510002,119.88,98.78,-81.510002
100197,24.700001,81.480003,113.14,91.66,-81.480003
100198,24.700001,81.470001,120.58,99.4,-81.470001
100199,24.700001,81.43,114.11,92.66,-81.43
100200,24.700001,81.419998,114.11,92.51,-81.419998
100201,24.700001,81.410004,121.69,100.42,-81.410004
100202,24.700001,81.389999,113.03,90.3,-81.389999
100203,24.700001,81.379997,113.74,91.38,-81.379997
100204,24.700001,81.370003,115.41,93.92,-81.370003
100205,24.700001,81.360001,114.58,92.48,-81.360001
100206,24.700001,81.349998,118.98,98.42,-81.349998
100207,24.700001,81.339996,113.97,91.17,-81.339996
100208,24.700001,81.330002,115.01,92.76,-81.330002
100209,24.700001,81.32,118.33,97.46,-81.32
100210,24.700001,81.110001,121.2,97.64,-81.110001
100211,24.700001,81.089996,121.09,97.75,-81.089996
100212,24.700001,81.080002,122.03,99.47,-81.080002
100213,24.709999,81.580002,115.01,94.97,-81.580002
100214,24.709999,81.519997,116.07,95.86,-81.519997
100215,24.709999,81.5,116.4,96.14,-81.5
100216,24.709999,81.480003,114.75,93.99,-81.480003
100217,24.709999,81.43,117.58,97.2,-81.43
100218,24.709999,81.389999,113.26,90.73,-81.389999
100219,24.709999,81.379997,114.46,92.54,-81.379997
100220,24.709999,81.110001,122.19,99.23,-81.110001
100221,24.709999,81.099998,122.46,99.82,-81.099998
100222,24.709999,81.080002,121.34,98.45,-81.080002
100223,24.719999,81.620003,117.86,97.02,-81.620003
100224,24.719999,81.589996,114.87,94.82,-81.589996
100225,24.719999,81.580002,112.48,91.69,-81.580002
100226,24.719999,81.449997,112.83,90.79,-81.449997
100227,24.719999,81.440002,114.54,93.34,-81.440002
