Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,RoofPitch,LULC,DWSII,County,FloodZone,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,Footprint,LatF,LonF,RoofReplaceYear,HazusGBMs,HazusGBM
1,04973-022-010,413 5TH ST MEXICO BEACH 32410,SINGLE FAM (000100),1794.0,1,2015.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['19MB-DEM0033', '19MB-RR0105', '15-2748']","['20190207', '20190206', '20150203']","['DEM', 'RERF', 'NC']","['DEMOLITION', 'RE-ROOF', 'MODULAR HOME']","['0', '0', '96,100']",29.938095,-85.393667,hip,9.462322208,0.03,133.0,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39360014072484, 29.938153231084176], [-85.39360014080272, 29.938036768881393], [-85.39373385919727, 29.938036768881393], [-85.39373385927514, 29.938153231084176]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.938095,-85.393667,2015.0,WSF1_hip_1_8s_strap_sup_1_3,WSF1_hip_1_8s_strap_sup_1_3
2,04188-030-000,410 5TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2536.0,1,2001.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,['19MB-RR0328'],['20190711'],['RERF'],['RE-ROOF'],['0'],29.937526,-85.393416,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.393625, 29.937508], [-85.393519, 29.937416], [-85.393392, 29.937527], [-85.393498, 29.937619], [-85.393625, 29.937508]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.9375175,-85.3935085,2001.0,WSF1_gab_1_8d_strap_std_0_3,WSF1_gab_1_6d_strap_std_0_3
3,04420-018-000,108 12TH ST MEXICO BEACH 32410,SINGLE FAM (000100),3840.0,1,2005.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,29.940059,-85.403947,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.403809, 29.940092], [-85.403922, 29.940174], [-85.404027, 29.940064], [-85.403915, 29.939983], [-85.403809, 29.940092]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94007835,-85.40391817,2005.0,WSF1_hip_1_8s_strap_sup_1_3,WSF1_hip_1_8s_strap_sup_1_3
4,04449-000-000,111 21ST ST MEXICO BEACH 32410,SINGLE FAM (000100),3068.0,1,2015.0,ABOVE AVG.; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE,"['21MB-RR0020', '19MB-RR0094', '15-2881', '15-2797']","['20210507', '20190131', '20150705', '20150407']","['RERF', 'RERF', 'ROOF', 'ROOF']","['RE-ROOF', 'RE-ROOF', 'ROOF', 'ROOF']","['0', '0', '0']",29.944968,-85.411676,hip,9.462322208,0.03,133.0,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.411687, 29.944853], [-85.411564, 29.945005], [-85.411668, 29.945069], [-85.411791, 29.944917], [-85.411687, 29.944853]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.944961,-85.4116775,2015.0,WSF1_hip_1_8s_strap_sup_1_3,WSF1_hip_1_8s_strap_sup_1_3
5,04973-150-000,404 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2771.0,1,2002.0,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,"['18MB-RR0155', 'RF1072']","['20181206', '20020806']","['RERF', 'ROOF']","['RE-ROOF', 'ROOF']","['0', '0']",29.938959,-85.396598,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.396729, 29.938849], [-85.396621, 29.938849], [-85.396621, 29.938885], [-85.396565, 29.938885], [-85.396565, 29.939059], [-85.39668, 29.939059], [-85.39668, 29.938987], [-85.396729, 29.938987], [-85.396729, 29.938849]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.93895165,-85.39664375,2002.0,WSF1_gab_1_8s_strap_sup_1_3,WSF1_gab_1_8s_strap_sup_1_3
6,file:/D:/Users/Karen/Documents/GitHub/DPBWE/MB_Building_Inventory_Default.csv,406 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),1595.0,1,1978.0,COMMON BRK,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['18MB-RR0169', 'ROOF', '91-4743']","['20181210', '20101220', '19910712']","['RERF', 'ROOF', 'ROOF']","['REROOF', 'ROOF', 'ROOF']","['0', '0', '0']",29.939181,-85.396362,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.396456, 29.939061], [-85.396333, 29.939184], [-85.39641, 29.939242], [-85.396533, 29.939118], [-85.396456, 29.939061]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.93915135,-85.39643295,1978.0,WSF1_hip_1_8d_tnail_wkd_0_3,WSF1_hip_1_6d_tnail_wkd_0_3
7,04973-322-000,409 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),3217.0,1,2008.0,BD/BAT AVG,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['19MB-RR0055'],['20190115'],['RERF'],['ROOF'],['0'],29.939727,-85.396565,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39647546699739, 29.939804977451285], [-85.39647546713705, 29.939649022486975], [-85.39665453286294, 29.939649022486975], [-85.3966545330026, 29.939804977451285]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.939727,-85.396565,2008.0,WSF1_gab_1_8s_strap_sup_1_3,WSF1_gab_1_8s_strap_sup_1_3
8,04973-320-000,406 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),2206.0,1,2004.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['19MB-RR0011'],['20190103'],['RERF'],['RE-ROOF'],['0'],29.939732,-85.397031,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.396978, 29.9397], [-85.397069, 29.939779], [-85.397156, 29.939704], [-85.397065, 29.939625], [-85.396978, 29.9397]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.939702,-85.397067,2004.0,WSF1_gab_0_8s_strap_sup_1_3,WSF1_gab_1_8s_strap_sup_1_3
9,04973-340-000,412 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),2598.0,1,2006.0,VINYL,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,NONE REPORTED,29.940331,-85.39638,gab,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.39652, 29.940266], [-85.396473, 29.940204], [-85.396301, 29.940301], [-85.396385, 29.940412], [-85.396475, 29.940361], [-85.396439, 29.940312], [-85.39652, 29.940266]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94030649,-85.39641086,2006.0,WSF1_gab_1_8s_strap_sup_1_3,WSF1_gab_0_8s_strap_sup_1_3
10,04973-345-000,414 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),1992.0,1,1993.0,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['19MB-RR0029', '16-3165']","['20190108', '20160601']","['RERF', 'RERF']","['RE-ROOF', 'RERF']","['0', '0']",29.940531,-85.396163,hip,9.462322208,0.03,166.5382839,BAY,V,1,0.166666667,above,MEXICO BEACH,FL,6.7,m,"{'geometry': {'coordinates': [[[-85.396263, 29.940482], [-85.396197, 29.940409], [-85.396078, 29.94049], [-85.396182, 29.940605], [-85.396249, 29.940559], [-85.396211, 29.940517], [-85.396263, 29.940482]]], 'type': 'Polygon'}, 'properties': {}, 'type': 'Feature'}",29.94050438,-85.39617684,1993.0,WSF1_hip_1_6d_strap_std_0_3,WSF1_hip_1_8d_strap_std_0_3
