Id,ParcelId,Address,OccupancyClass,PlanArea,NumberOfStories,YearBuilt,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssueDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude,RoofShape,LULC,County,FloodZone,DWSII,Garage,RoofSlope,AvgJanTemp,City,State,BldgHeight,HeightUnit,RoofReplaceYear,HazusGBM
1,38515-000-000,306 SAN SOUCI ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2016,1.0,1985,WD FR STUC,ENG SHINGL,DRYWALL,NONE REPORTED,HARDWOOD,['17-0526'],['20170310'],['RERF'],['RERF'],['0'],30.235477,-85.913374,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1985,WSF1_hip_1_8d_tnail_wkd_0_3
2,38514-000-000,310 SAN SOUCI ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2116,1.5,1967,CB STUCCO,ENG SHINGL,DRYWALL,MASONARY,TERRAZZO,['17-1435'],['20170705'],['RERF'],['RERF'],['0'],30.235203,-85.913368,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1967,WSF1_gab_1_8d_tnail_wkd_0_3
3,38512-000-000,314 SAN SOUCI ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2337,1.0,1954,AL SIDING,ENG SHINGL,PLYWOOD,NONE REPORTED,SHT VINYL; CARPET,"['16-1279', '1848']","['20160615', '19990928']","['RERF', 'RERF']","['RERF', 'RE-ROOF']","['0', '1,300']",30.234938,-85.913372,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1954,WSF1_hip_1_8d_tnail_wkd_0_3
4,38510-000-000,315 WELLS ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),1780,1.0,1959,CB STUCCO,ENG SHINGL,PLYWOOD; DRYWALL,MASONARY,CLAY TILE; CARPET,"['11-1378', '5714']","['20111004', '19950207']","['ADD', 'NC']","['SCREEN ROOM', 'NEW CONST.']","['5,300', '5,000']",30.235131,-85.913692,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1959,WSF1_hip_1_8d_tnail_wkd_0_3
5,38505-000-000,301 WELLS ST S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2817,1.0,1971,CONC BLOCK; AVERAGE,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['19-00715', '1396']","['20190213', '20010829']","['RERF', 'RERF']","['RE-ROOF', 'RE-ROOF']","['0', '3,275']",30.235907,-85.913683,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1971,WSF1_gab_1_8d_tnail_wkd_0_3
6,38501-000-000,253 DEERMONT ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),1180,1.0,1966,CB STUCCO,ENG SHINGL,PLASTER,NONE REPORTED,TERRAZZO,"['201900213', '9510539', '5336']","['20190116', '19951016', '19910702']","['RERF', 'ROOF', 'ALTR']","['RE-ROOF', 'ROOF', 'ALTERATION']","['0', '0', '5,000']",30.235577,-85.914353,hip,0.03,BAY,V,166.5382839,0,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1995,WSF1_hip_1_6d_tnail_no_1_3
7,38454-050-000,301 SANDS ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2126,1.0,1989,CEDAR,ENG SHINGL,DRYWALL,NONE REPORTED,SHT VINYL; CARPET,"['202101911', '4897', '5609']","['20210421', '20040505', '19941128']","['RERF', 'RERF', 'XTRA']","['RE-ROOF', 'RE-ROOF', 'EXTRA FEAT']","['0', '0', '9,500']",30.236264,-85.91082,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1989,WSF1_gab_1_8d_tnail_wkd_0_3
8,38448-000-000,229 CATHY PL PANAMA CITY BEACH 32413,SINGLE FAM (000100),1384,1.0,1980,CONC BLOCK,ENG SHINGL,DRYWALL,MASONARY,CLAY TILE,"['201902063', '201901465', '1008']","['20190522', '20190405', '20050427']","['POOL', 'RERF', 'RERF']","['POOLS', 'RE-ROOF', 'RE-ROOF']","['22,200', '5,200', '3,595']",30.235374,-85.911631,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1980,WSF1_gab_1_6d_tnail_wkd_0_3
9,38441-010-000,317 VESTAVIA ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2832,1.0,2011,ABOVE AVG.,ENG SHINGL,DRYWALL,NONE REPORTED,CLAY TILE; CARPET,['2011129'],['20110208'],['NC'],['NEW CONST.'],"['115,000']",30.234756,-85.91229,gab,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,2011,WSF1_gab_1_8s_strap_sup_1_3
10,38412-030-000,17881 LYNN ST PANAMA CITY BEACH 32413,SINGLE FAM (000100),2426,1.0,1953,CONC BLOCK,ENG SHINGL,PLASTER,NONE REPORTED,VINYL ASB,"['202000548', '915471']","['20200226', '19911121']","['RERF', 'ROOF']","['RE-ROOF', 'ROOF']","['0', '2,000']",30.236351,-85.915075,hip,0.03,BAY,V,166.5382839,1,0.166666667,above,PANAMA CITY BEACH,FL,6.7,m,1991,WSF1_hip_1_6d_tnail_wkd_0_3
