ParcelId,Address,UseCode,SquareFootage,Stories,YearBuilt,OccType,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssuedDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude
04973-022-010,413 5TH ST MEXICO BEACH 32410,SINGLE FAM (000100),1794,1,2015,SFR MODULR,VINYL,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['19MB-DEM0033', '19MB-RR0105', '15-2748']","['20190207', '20190206', '20150203']","['DEM', 'RERF', 'NC']","['DEMOLITION', 'RE-ROOF', 'MODULAR HOME']","['0', '0', '96,100']",29.938095,-85.393667
04188-030-000,410 5TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2536,1,2001,SFR AVERG,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE,['19MB-RR0328'],['20190711'],['RERF'],['RE-ROOF'],['0'],29.937526,-85.393416
04207-000-000,24 HWY 98 MEXICO BEACH 32410,SINGLE FAM (000100),3076,2,1950,SFR AVERG,VINYL,ENG SHINGL,PLYWOOD; WALL BD/WD,,PINE WOOD,"['18-0131', '17-3654', '17-3570']","['20181129', '20171012', '20170809']","['RERF', 'RERF', 'DECK']","['RERF', 'RERF', 'REBUILD DECK']","['0', '0', '12,000']",29.926869,-85.389912
04420-018-000,108 12TH ST MEXICO BEACH 32410,SINGLE FAM (000100),3840,1,2005,SFR PILING,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,29.940059,-85.403947
04449-000-000,111 21ST ST MEXICO BEACH 32410,SINGLE FAM (000100),3068,1,2015,SFR AVERG,ABOVE AVG.; COMMON BRK,ENG SHINGL,DRYWALL,,CLAY TILE,"['21MB-RR0020', '19MB-RR0094', '15-2881', '15-2797']","['20210507', '20190131', '20150705', '20150407']","['RERF', 'RERF', 'ROOF', 'ROOF']","['RE-ROOF', 'RE-ROOF', 'ROOF', 'ROOF']","['0', '0', '0']",29.944968,-85.411676
04973-150-000,404 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2771,1,2002,SFR GOOD,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,"['18MB-RR0155', 'RF1072']","['20181206', '20020806']","['RERF', 'ROOF']","['RE-ROOF', 'ROOF']","['0', '0']",29.938959,-85.396598
04973-165-000,406 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),1595,1,1978,SFR AVERG,COMMON BRK,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['18MB-RR0169', 'ROOF', '91-4743']","['20181210', '20101220', '19910712']","['RERF', 'ROOF', 'ROOF']","['REROOF', 'ROOF', 'ROOF']","['0', '0', '0']",29.939181,-85.396362
04973-322-000,409 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),3217,1,2008,SFR GOOD,BD/BAT AVG,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,['19MB-RR0055'],['20190115'],['RERF'],['ROOF'],['0'],29.939727,-85.396565
04973-320-000,406 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),2206,1,2004,SFR AVERG,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,['19MB-RR0011'],['20190103'],['RERF'],['RE-ROOF'],['0'],29.939732,-85.397031
04973-340-000,412 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),2598,1,2006,SFR GOOD,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,29.940331,-85.39638
04973-345-000,414 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),1992,1,1993,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['19MB-RR0029', '16-3165']","['20190108', '20160601']","['RERF', 'RERF']","['RE-ROOF', 'RERF']","['0', '0']",29.940531,-85.396163
04973-342-000,415 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),1920,1,1995,SFR GOOD,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,['19MB-RR0015'],['20190103'],['RERF'],['RE-ROOF'],['0'],29.940326,-85.395914
